"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"330",330,18,"PP Chawla","2008-2013",87,52,21,401,0,12.93,355,112.95,0,0,7,36,12,"KXIP",0.230769230769231,0.692307692307692,0.923076923076923,7.71153846153846,17.9551122194514,35.9102244389027,53.8653366583541,6.82692307692308,0.403846153846154
"337",337,25,"AC Gilchrist","2011-2013",34,34,3,849,106,27.38,667,127.28,1,4,3,103,28,"KXIP",0.823529411764706,3.02941176470588,3.85294117647059,24.9705882352941,19.7879858657244,48.527679623086,68.3156654888104,19.6176470588235,0.0882352941176471
"340",340,28,"Gurkeerat Singh","2012-2016",28,24,3,342,51,16.28,272,125.73,0,1,4,36,9,"KXIP",0.375,1.5,1.875,14.25,15.7894736842105,42.1052631578947,57.8947368421053,11.3333333333333,0.125
"345",345,33,"DJ Hussey","2011-2013",36,34,6,695,0,24.82,577,120.45,0,2,1,51,26,"KXIP",0.764705882352941,1.5,2.26470588235294,20.4411764705882,22.4460431654676,29.3525179856115,51.7985611510791,16.9705882352941,0.176470588235294
"346",346,34,"DPMD Jayawardene","2008-2010",36,35,12,837,0,36.39,594,140.9,1,2,1,87,25,"KXIP",0.714285714285714,2.48571428571429,3.2,23.9142857142857,17.921146953405,41.5770609318996,59.4982078853047,16.9714285714286,0.342857142857143
"355",355,43,"P Kumar","2011-2013",44,21,9,109,24,9.08,100,109,0,0,3,7,5,"KXIP",0.238095238095238,0.333333333333333,0.571428571428571,5.19047619047619,27.5229357798165,25.6880733944954,53.2110091743119,4.76190476190476,0.428571428571429
"359",359,47,"Mandeep Singh","2011-2014",41,38,2,763,0,21.19,632,120.72,0,3,4,95,8,"KXIP",0.210526315789474,2.5,2.71052631578947,20.0789473684211,6.29095674967235,49.8034076015727,56.0943643512451,16.6315789473684,0.0526315789473684
"360",360,48,"SE Marsh","2008-2016",62,61,7,2213,115,40.98,1672,132.35,1,18,1,230,73,"KXIP",1.19672131147541,3.77049180327869,4.9672131147541,36.2786885245902,19.7921373700859,41.5725259828287,61.3646633529146,27.4098360655738,0.114754098360656
"362",362,50,"GJ Maxwell","2014-2016",43,43,2,965,95,23.53,592,163,0,6,6,83,56,"KXIP",1.30232558139535,1.93023255813953,3.23255813953488,22.4418604651163,34.8186528497409,34.4041450777202,69.2227979274611,13.7674418604651,0.0465116279069767
"363",363,51,"DA Miller","2012-2016",66,65,22,1604,0,37.3,1108,144.76,1,8,2,112,78,"KXIP",1.2,1.72307692307692,2.92307692307692,24.6769230769231,29.1770573566085,27.930174563591,57.1072319201995,17.0461538461538,0.338461538461538
"368",368,56,"AR Patel","2014-2016",50,32,9,433,0,18.82,338,128.1,0,0,3,30,19,"KXIP",0.59375,0.9375,1.53125,13.53125,26.3279445727483,27.7136258660508,54.0415704387991,10.5625,0.28125
"369",369,57,"IK Pathan","2008-2010",42,35,11,603,60,25.12,460,131.08,0,1,1,47,22,"KXIP",0.628571428571429,1.34285714285714,1.97142857142857,17.2285714285714,21.8905472636816,31.1774461028192,53.0679933665008,13.1428571428571,0.314285714285714
"375",375,63,"WP Saha","2014-2016",48,43,5,956,0,25.15,725,131.86,1,4,0,84,30,"KXIP",0.697674418604651,1.95348837209302,2.65116279069767,22.2325581395349,18.8284518828452,35.1464435146443,53.9748953974895,16.8604651162791,0.116279069767442
"379",379,67,"KC Sangakkara","2008-2010",37,34,2,1009,94,31.53,779,129.52,0,8,2,117,18,"KXIP",0.529411764705882,3.44117647058824,3.97058823529412,29.6764705882353,10.7036669970268,46.382556987116,57.0862239841427,22.9117647058824,0.0588235294117647
"382",382,70,"V Sehwag","2014-2015",30,30,0,660,122,22,493,133.87,1,2,3,79,23,"KXIP",0.766666666666667,2.63333333333333,3.4,22,20.9090909090909,47.8787878787879,68.7878787878788,16.4333333333333,0
"396",396,84,"PC Valthaty","2011-2013",21,21,1,499,0,24.95,406,122.9,1,2,1,59,20,"KXIP",0.952380952380952,2.80952380952381,3.76190476190476,23.7619047619048,24.0480961923848,47.2945891783567,71.3426853707415,19.3333333333333,0.0476190476190476
"397",397,85,"M Vijay","2015-2016",25,25,1,704,89,29.33,592,118.91,0,5,1,77,18,"KXIP",0.72,3.08,3.8,28.16,15.3409090909091,43.75,59.0909090909091,23.68,0.04
"398",398,86,"M Vohra","2013-2016",39,37,2,877,67,25.05,666,131.68,0,3,2,92,30,"KXIP",0.810810810810811,2.48648648648649,3.2972972972973,23.7027027027027,20.5245153933865,41.9612314709236,62.4857468643102,18,0.0540540540540541
"399",399,87,"Yuvraj Singh","2008-2010",43,42,5,894,0,24.16,677,132.05,0,3,0,69,49,"KXIP",1.16666666666667,1.64285714285714,2.80952380952381,21.2857142857143,32.8859060402685,30.8724832214765,63.758389261745,16.1190476190476,0.119047619047619
"404",404,5,"DJ Bravo","2008-2010",33,27,4,508,0,22.08,419,121.24,0,3,0,45,19,"MI",0.703703703703704,1.66666666666667,2.37037037037037,18.8148148148148,22.4409448818898,35.4330708661417,57.8740157480315,15.5185185185185,0.148148148148148
"414",414,15,"JP Duminy","2009-2010",24,23,6,586,62,34.47,508,115.35,0,5,1,43,17,"MI",0.739130434782609,1.8695652173913,2.60869565217391,25.4782608695652,17.4061433447099,29.3515358361775,46.7576791808874,22.0869565217391,0.260869565217391
"418",418,19,"JEC Franklin","2011-2012",25,21,6,434,79,28.93,410,105.85,0,1,1,32,12,"MI",0.571428571428571,1.52380952380952,2.09523809523809,20.6666666666667,16.5898617511521,29.4930875576037,46.0829493087558,19.5238095238095,0.285714285714286
"423",423,24,"Harbhajan Singh","2008-2016",147,92,36,931,64,16.62,654,142.35,0,1,13,89,48,"MI",0.521739130434783,0.967391304347826,1.48913043478261,10.1195652173913,30.9344790547798,38.2384532760473,69.1729323308271,7.10869565217391,0.391304347826087
"426",426,27,"ST Jayasuriya","2008-2010",30,30,2,768,0,27.42,532,144.36,1,4,2,84,39,"MI",1.3,2.8,4.1,25.6,30.46875,43.75,74.21875,17.7333333333333,0.0666666666666667
"429",429,30,"KD Karthik","2012-2013",45,41,5,934,86,25.94,760,122.89,0,3,3,98,28,"MI",0.682926829268293,2.39024390243902,3.07317073170732,22.780487804878,17.9871520342612,41.9700214132762,59.9571734475375,18.5365853658537,0.121951219512195
"439",439,40,"SL Malinga","2009-2015",115,31,11,171,0,8.55,146,117.12,0,0,6,13,11,"MI",0.354838709677419,0.419354838709677,0.774193548387097,5.51612903225806,38.5964912280702,30.4093567251462,69.0058479532164,4.70967741935484,0.354838709677419
"445",445,46,"AM Nayar","2008-2010",30,24,5,457,0,24.05,341,134.01,0,0,0,34,18,"MI",0.75,1.41666666666667,2.16666666666667,19.0416666666667,23.6323851203501,29.7592997811816,53.3916849015317,14.2083333333333,0.208333333333333
"454",454,55,"PA Patel","2015-2016",24,24,1,516,81,22.43,398,129.64,0,3,3,70,9,"MI",0.375,2.91666666666667,3.29166666666667,21.5,10.4651162790698,54.2635658914729,64.7286821705426,16.5833333333333,0.0416666666666667
"458",458,59,"KA Pollard","2010-2016",128,119,34,2461,78,28.95,1670,147.36,0,11,3,163,160,"MI",1.34453781512605,1.36974789915966,2.71428571428571,20.6806722689076,39.0085331166193,26.4932954083706,65.5018285249898,14.0336134453782,0.285714285714286
"465",465,66,"AT Rayudu","2010-2016",131,122,19,2544,0,24.69,2058,123.61,0,13,9,214,81,"MI",0.663934426229508,1.75409836065574,2.41803278688525,20.8524590163934,19.1037735849057,33.6477987421384,52.751572327044,16.8688524590164,0.155737704918033
"472",472,73,"RG Sharma","2011-2016",106,103,18,2977,0,35.02,2260,131.72,1,22,6,245,128,"MI",1.24271844660194,2.37864077669903,3.62135922330097,28.9029126213592,25.7977830030232,32.9190460194827,58.7168290225059,21.9417475728155,0.174757281553398
"474",474,75,"LMP Simmons","2014-2016",25,25,3,1038,0,47.18,822,126.27,1,10,1,113,37,"MI",1.48,4.52,6,41.52,21.3872832369942,43.5452793834297,64.9325626204239,32.88,0.12
"476",476,77,"DR Smith","2008-2013",33,31,3,945,0,33.75,722,130.88,0,7,2,97,41,"MI",1.32258064516129,3.12903225806452,4.45161290322581,30.4838709677419,26.031746031746,41.0582010582011,67.0899470899471,23.2903225806452,0.0967741935483871
"483",483,84,"AP Tare","2010-2015",32,25,4,357,59,17,281,127.04,0,1,2,39,13,"MI",0.52,1.56,2.08,14.28,21.8487394957983,43.6974789915966,65.546218487395,11.24,0.16
"484",484,85,"SR Tendulkar","2008-2013",91,91,11,2599,0,32.48,2191,118.62,1,14,5,329,33,"MI",0.362637362637363,3.61538461538462,3.97802197802198,28.5604395604396,7.61831473643709,50.6348595613698,58.2531742978069,24.0769230769231,0.120879120879121
"486",486,87,"SS Tiwary","2008-2010",26,23,4,540,61,28.42,399,135.33,0,3,2,36,24,"MI",1.04347826086957,1.56521739130435,2.60869565217391,23.4782608695652,26.6666666666667,26.6666666666667,53.3333333333333,17.3478260869565,0.173913043478261
"494",494,4,"MA Agarwal","2011-2013",35,30,1,492,0,16.96,382,128.79,0,1,2,43,28,"RCB",0.933333333333333,1.43333333333333,2.36666666666667,16.4,34.1463414634146,34.9593495934959,69.1056910569106,12.7333333333333,0.0333333333333333
"505",505,15,"MV Boucher","2008-2010",31,22,8,393,0,28.07,315,124.76,0,1,0,32,13,"RCB",0.590909090909091,1.45454545454545,2.04545454545455,17.8636363636364,19.8473282442748,32.5699745547074,52.4173027989822,14.3181818181818,0.363636363636364
"510",510,20,"AB de Villiers","2011-2016",93,84,21,2617,0,41.53,1634,160.15,2,18,6,225,130,"RCB",1.54761904761905,2.67857142857143,4.22619047619048,31.1547619047619,29.8051203668322,34.3905235001911,64.1956438670233,19.452380952381,0.25
"511",511,21,"TM Dilshan","2011-2013",30,29,3,733,0,28.19,647,113.29,0,6,3,99,11,"RCB",0.379310344827586,3.41379310344828,3.79310344827586,25.2758620689655,9.00409276944066,54.0245566166439,63.0286493860846,22.3103448275862,0.103448275862069
"514",514,24,"R Dravid","2008-2010",52,45,5,1132,0,28.3,946,119.66,0,5,4,121,20,"RCB",0.444444444444444,2.68888888888889,3.13333333333333,25.1555555555556,10.6007067137809,42.756183745583,53.356890459364,21.0222222222222,0.111111111111111
"516",516,26,"CH Gayle","2011-2016",82,81,11,3220,0,46,2052,156.92,5,20,3,248,249,"RCB",3.07407407407407,3.06172839506173,6.1358024691358,39.7530864197531,46.3975155279503,30.8074534161491,77.2049689440994,25.3333333333333,0.135802469135802
"527",527,37,"JH Kallis","2008-2010",46,46,8,1271,0,33.44,1123,113.17,0,11,4,139,24,"RCB",0.521739130434783,3.02173913043478,3.54347826086957,27.6304347826087,11.3296616837136,43.7450826121164,55.0747442958301,24.4130434782609,0.173913043478261
"533",533,43,"V Kohli","2008-2016",154,145,26,4534,113,38.1,3433,132.07,4,28,6,404,162,"RCB",1.11724137931034,2.78620689655172,3.90344827586207,31.2689655172414,21.4380238200265,35.6418173797971,57.0798411998236,23.6758620689655,0.179310344827586
"535",535,45,"P Kumar","2008-2010",47,26,7,202,34,10.63,166,121.68,0,0,4,12,14,"RCB",0.538461538461538,0.461538461538462,1,7.76923076923077,41.5841584158416,23.7623762376238,65.3465346534653,6.38461538461539,0.269230769230769
"552",552,62,"MK Pandey","2009-2010",24,23,5,569,0,31.61,475,119.78,1,1,2,62,14,"RCB",0.608695652173913,2.69565217391304,3.30434782608696,24.7391304347826,14.7627416520211,43.585237258348,58.3479789103691,20.6521739130435,0.217391304347826
"579",579,89,"LRPL Taylor","2008-2010",31,30,7,733,0,31.86,493,148.68,0,4,1,57,43,"RCB",1.43333333333333,1.9,3.33333333333333,24.4333333333333,35.1978171896316,31.1050477489768,66.3028649386085,16.4333333333333,0.233333333333333
"580",580,90,"SS Tiwary","2011-2013",46,36,10,578,52,22.23,542,106.64,0,1,1,30,23,"RCB",0.638888888888889,0.833333333333333,1.47222222222222,16.0555555555556,23.8754325259516,20.7612456747405,44.636678200692,15.0555555555556,0.277777777777778
"582",582,92,"RV Uthappa","2009-2010",40,36,5,706,0,22.77,506,139.52,0,5,2,59,36,"RCB",1,1.63888888888889,2.63888888888889,19.6111111111111,30.5949008498584,33.4277620396601,64.0226628895184,14.0555555555556,0.138888888888889
"586",586,96,"R Vinay Kumar","2008-2013",70,31,11,252,0,12.6,218,115.59,0,0,2,16,8,"RCB",0.258064516129032,0.516129032258065,0.774193548387097,8.12903225806452,19.047619047619,25.3968253968254,44.4444444444444,7.03225806451613,0.354838709677419
"616",616,2,"SA Asnodkar","2008-2011",21,21,0,464,60,22.09,379,122.42,0,2,3,59,11,"RR",0.523809523809524,2.80952380952381,3.33333333333333,22.0952380952381,14.2241379310345,50.8620689655172,65.0862068965517,18.047619047619,0
"619",619,5,"STR Binny","2011-2015",63,49,17,698,0,21.81,533,130.95,0,0,5,55,25,"RR",0.510204081632653,1.12244897959184,1.63265306122449,14.2448979591837,21.4899713467049,31.5186246418338,53.0085959885387,10.8775510204082,0.346938775510204
"631",631,17,"R Dravid","2011-2013",52,51,2,1324,66,27.02,1216,108.88,0,7,1,177,11,"RR",0.215686274509804,3.47058823529412,3.68627450980392,25.9607843137255,4.98489425981873,53.4743202416918,58.4592145015106,23.843137254902,0.0392156862745098
"632",632,18,"JP Faulkner","2013-2015",48,35,16,387,46,20.36,269,143.86,0,0,0,25,23,"RR",0.657142857142857,0.714285714285714,1.37142857142857,11.0571428571429,35.6589147286822,25.8397932816538,61.4987080103359,7.68571428571429,0.457142857142857
"639",639,25,"BJ Hodge","2012-2014",38,33,14,748,0,39.36,520,143.84,0,2,0,61,29,"RR",0.878787878787879,1.84848484848485,2.72727272727273,22.6666666666667,23.2620320855615,32.620320855615,55.8823529411765,15.7575757575758,0.424242424242424
"643",643,29,"RA Jadeja","2008-2009",27,22,4,430,42,23.88,369,116.53,0,0,2,32,12,"RR",0.545454545454545,1.45454545454545,2,19.5454545454545,16.7441860465116,29.7674418604651,46.5116279069767,16.7727272727273,0.181818181818182
"656",656,42,"AL Menaria","2011-2013",33,24,3,407,40,19.38,364,111.81,0,0,1,24,18,"RR",0.75,1,1.75,16.9583333333333,26.5356265356265,23.5872235872236,50.1228501228501,15.1666666666667,0.125
"659",659,45,"KK Nair","2014-2015",25,23,2,511,0,24.33,377,135.54,0,4,0,56,14,"RR",0.608695652173913,2.43478260869565,3.04347826086957,22.2173913043478,16.4383561643836,43.8356164383562,60.2739726027397,16.3913043478261,0.0869565217391304
"662",662,48,"NV Ojha","2009-2010",23,23,3,555,0,27.75,434,127.88,0,4,3,53,27,"RR",1.17391304347826,2.30434782608696,3.47826086956522,24.1304347826087,29.1891891891892,38.1981981981982,67.3873873873874,18.8695652173913,0.130434782608696
"667",667,53,"YK Pathan","2008-2010",43,42,4,1011,100,26.6,627,161.24,1,6,1,89,61,"RR",1.45238095238095,2.11904761904762,3.57142857142857,24.0714285714286,36.2017804154303,35.2126607319486,71.4144411473788,14.9285714285714,0.0952380952380952
"671",671,57,"AM Rahane","2011-2015",77,72,10,2335,0,37.66,1935,120.67,1,19,4,245,46,"RR",0.638888888888889,3.40277777777778,4.04166666666667,32.4305555555556,11.8201284796574,41.9700214132762,53.7901498929336,26.875,0.138888888888889
"677",677,63,"SV Samson","2013-2015",44,40,4,941,76,26.13,765,123,0,7,2,82,35,"RR",0.875,2.05,2.925,23.525,22.3166843783209,34.8565356004251,57.173219978746,19.125,0.1
"682",682,68,"GC Smith","2008-2010",25,25,3,697,91,31.68,617,112.96,0,4,2,88,9,"RR",0.36,3.52,3.88,27.88,7.74748923959828,50.5021520803443,58.2496413199426,24.68,0.12
"698",698,84,"SK Warne","2008-2011",56,29,9,198,0,9.9,214,92.52,0,0,7,14,6,"RR",0.206896551724138,0.482758620689655,0.689655172413793,6.82758620689655,18.1818181818182,28.2828282828283,46.4646464646465,7.37931034482759,0.310344827586207
"699",699,85,"SR Watson","2008-2015",84,81,12,2474,0,35.85,1765,140.16,2,14,2,245,114,"RR",1.40740740740741,3.02469135802469,4.4320987654321,30.5432098765432,27.6475343573161,39.6119644300728,67.2594987873888,21.7901234567901,0.148148148148148
