"","Team 1","Team 2","Winner","Margin","Ground","Match Date","Scorecard"
"1","Mum Indians","Supergiants","Supergiants","9 wickets","Mumbai","Apr 9, 2016","T20"
"2","KKR","Daredevils","KKR","9 wickets","Kolkata","Apr 10, 2016","T20"
"3","Kings XI","Guj Lions","Guj Lions","5 wickets","Mohali","Apr 11, 2016","T20"
"4","RCB","Sunrisers","RCB","45 runs","Bangalore","Apr 12, 2016","T20"
"5","KKR","Mum Indians","Mum Indians","6 wickets","Kolkata","Apr 13, 2016","T20"
"6","Guj Lions","Supergiants","Guj Lions","7 wickets","Rajkot","Apr 14, 2016","T20"
"7","Daredevils","Kings XI","Daredevils","8 wickets","Delhi","Apr 15, 2016","T20"
"8","Sunrisers","KKR","KKR","8 wickets","Hyderabad (Deccan)","Apr 16, 2016","T20"
"9","Mum Indians","Guj Lions","Guj Lions","3 wickets","Mumbai","Apr 16, 2016","T20"
"10","Kings XI","Supergiants","Kings XI","6 wickets","Mohali","Apr 17, 2016","T20"
"11","RCB","Daredevils","Daredevils","7 wickets","Bangalore","Apr 17, 2016","T20"
"12","Sunrisers","Mum Indians","Sunrisers","7 wickets","Hyderabad (Deccan)","Apr 18, 2016","T20"
"13","Kings XI","KKR","KKR","6 wickets","Mohali","Apr 19, 2016","T20"
"14","Mum Indians","RCB","Mum Indians","6 wickets","Mumbai","Apr 20, 2016","T20"
"15","Guj Lions","Sunrisers","Sunrisers","10 wickets","Rajkot","Apr 21, 2016","T20"
"16","Supergiants","RCB","RCB","13 runs","Pune","Apr 22, 2016","T20"
"17","Daredevils","Mum Indians","Daredevils","10 runs","Delhi","Apr 23, 2016","T20"
"18","Sunrisers","Kings XI","Sunrisers","5 wickets","Hyderabad (Deccan)","Apr 23, 2016","T20"
"19","Guj Lions","RCB","Guj Lions","6 wickets","Rajkot","Apr 24, 2016","T20"
"20","Supergiants","KKR","KKR","2 wickets","Pune","Apr 24, 2016","T20"
"21","Kings XI","Mum Indians","Mum Indians","25 runs","Mohali","Apr 25, 2016","T20"
"22","Sunrisers","Supergiants","Supergiants","34 runs","Hyderabad (Deccan)","Apr 26, 2016","T20"
"23","Daredevils","Guj Lions","Guj Lions","1 run","Delhi","Apr 27, 2016","T20"
"24","Mum Indians","KKR","Mum Indians","6 wickets","Mumbai","Apr 28, 2016","T20"
"25","Supergiants","Guj Lions","Guj Lions","3 wickets","Pune","Apr 29, 2016","T20"
"26","Daredevils","KKR","Daredevils","27 runs","Delhi","Apr 30, 2016","T20"
"27","Sunrisers","RCB","Sunrisers","15 runs","Hyderabad (Deccan)","Apr 30, 2016","T20"
"28","Guj Lions","Kings XI","Kings XI","23 runs","Rajkot","May 1, 2016","T20"
"29","Supergiants","Mum Indians","Mum Indians","8 wickets","Pune","May 1, 2016","T20"
"30","RCB","KKR","KKR","5 wickets","Bangalore","May 2, 2016","T20"
"31","Guj Lions","Daredevils","Daredevils","8 wickets","Rajkot","May 3, 2016","T20"
"32","KKR","Kings XI","KKR","7 runs","Kolkata","May 4, 2016","T20"
"33","Daredevils","Supergiants","Supergiants","7 wickets","Delhi","May 5, 2016","T20"
"34","Sunrisers","Guj Lions","Sunrisers","5 wickets","Hyderabad (Deccan)","May 6, 2016","T20"
"35","RCB","Supergiants","RCB","7 wickets","Bangalore","May 7, 2016","T20"
"36","Kings XI","Daredevils","Kings XI","9 runs","Mohali","May 7, 2016","T20"
"37","Mum Indians","Sunrisers","Sunrisers","85 runs","Visakhapatnam","May 8, 2016","T20"
"38","KKR","Guj Lions","Guj Lions","5 wickets","Kolkata","May 8, 2016","T20"
"39","Kings XI","RCB","RCB","1 run","Mohali","May 9, 2016","T20"
"40","Supergiants","Sunrisers","Sunrisers","4 runs","Visakhapatnam","May 10, 2016","T20"
"41","RCB","Mum Indians","Mum Indians","6 wickets","Bangalore","May 11, 2016","T20"
"42","Sunrisers","Daredevils","Daredevils","7 wickets","Hyderabad (Deccan)","May 12, 2016","T20"
"43","Mum Indians","Kings XI","Kings XI","7 wickets","Visakhapatnam","May 13, 2016","T20"
"44","RCB","Guj Lions","RCB","144 runs","Bangalore","May 14, 2016","T20"
"45","KKR","Supergiants","KKR","8 wickets","Kolkata","May 14, 2016","T20"
"46","Kings XI","Sunrisers","Sunrisers","7 wickets","Mohali","May 15, 2016","T20"
"47","Mum Indians","Daredevils","Mum Indians","80 runs","Visakhapatnam","May 15, 2016","T20"
"48","KKR","RCB","RCB","9 wickets","Kolkata","May 16, 2016","T20"
"49","Supergiants","Daredevils","Supergiants","19 runs","Visakhapatnam","May 17, 2016","T20"
"50","RCB","Kings XI","RCB","82 runs","Bangalore","May 18, 2016","T20"
"51","Guj Lions","KKR","Guj Lions","6 wickets","Kanpur","May 19, 2016","T20"
"52","Daredevils","Sunrisers","Daredevils","6 wickets","Raipur","May 20, 2016","T20"
"53","Supergiants","Kings XI","Supergiants","4 wickets","Visakhapatnam","May 21, 2016","T20"
"54","Guj Lions","Mum Indians","Guj Lions","6 wickets","Kanpur","May 21, 2016","T20"
"55","KKR","Sunrisers","KKR","22 runs","Kolkata","May 22, 2016","T20"
"56","Daredevils","RCB","RCB","6 wickets","Raipur","May 22, 2016","T20"
"57","Guj Lions","RCB","RCB","4 wickets","Bangalore","May 24, 2016","T20"
"58","Sunrisers","KKR","Sunrisers","22 runs","Delhi","May 25, 2016","T20"
"59","Guj Lions","Sunrisers","Sunrisers","4 wickets","Delhi","May 27, 2016","T20"
"60","RCB","Sunrisers","Sunrisers","8 runs","Bangalore","May 29, 2016","T20"
"61","KKR","Mum Indians","KKR","7 wickets","Kolkata","Apr 8, 2015","T20"
"62","Super Kings","Daredevils","Super Kings","1 run","Chennai","Apr 9, 2015","T20"
"63","Kings XI","Royals","Royals","26 runs","Pune","Apr 10, 2015","T20"
"64","Super Kings","Sunrisers","Super Kings","45 runs","Chennai","Apr 11, 2015","T20"
"65","KKR","RCB","RCB","3 wickets","Kolkata","Apr 11, 2015","T20"
"66","Daredevils","Royals","Royals","3 wickets","Delhi","Apr 12, 2015","T20"
"67","Mum Indians","Kings XI","Kings XI","18 runs","Mumbai","Apr 12, 2015","T20"
"68","RCB","Sunrisers","Sunrisers","8 wickets","Bangalore","Apr 13, 2015","T20"
"69","Royals","Mum Indians","Royals","7 wickets","Ahmedabad","Apr 14, 2015","T20"
"70","Kings XI","Daredevils","Daredevils","5 wickets","Pune","Apr 15, 2015","T20"
"71","Sunrisers","Royals","Royals","6 wickets","Visakhapatnam","Apr 16, 2015","T20"
"72","Mum Indians","Super Kings","Super Kings","6 wickets","Mumbai","Apr 17, 2015","T20"
"73","Sunrisers","Daredevils","Daredevils","4 runs","Visakhapatnam","Apr 18, 2015","T20"
"74","Kings XI","KKR","KKR","4 wickets","Pune","Apr 18, 2015","T20"
"75","Royals","Super Kings","Royals","8 wickets","Ahmedabad","Apr 19, 2015","T20"
"76","RCB","Mum Indians","Mum Indians","18 runs","Bangalore","Apr 19, 2015","T20"
"77","Daredevils","KKR","KKR","6 wickets","Delhi","Apr 20, 2015","T20"
"78","Royals","Kings XI","tied","","Ahmedabad","Apr 21, 2015","T20"
"79","Sunrisers","KKR","Sunrisers","16 runs","Visakhapatnam","Apr 22, 2015","T20"
"80","RCB","Super Kings","Super Kings","27 runs","Bangalore","Apr 22, 2015","T20"
"81","Daredevils","Mum Indians","Daredevils","37 runs","Delhi","Apr 23, 2015","T20"
"82","Royals","RCB","RCB","9 wickets","Ahmedabad","Apr 24, 2015","T20"
"83","Mum Indians","Sunrisers","Mum Indians","20 runs","Mumbai","Apr 25, 2015","T20"
"84","Super Kings","Kings XI","Super Kings","97 runs","Chennai","Apr 25, 2015","T20"
"85","KKR","Royals","abandoned","","Kolkata","Apr 26, 2015","T20"
"86","Daredevils","RCB","RCB","10 wickets","Delhi","Apr 26, 2015","T20"
"87","Kings XI","Sunrisers","Sunrisers","20 runs","Mohali","Apr 27, 2015","T20"
"88","Super Kings","KKR","Super Kings","2 runs","Chennai","Apr 28, 2015","T20"
"89","RCB","Royals","no result","","Bangalore","Apr 29, 2015","T20"
"90","KKR","Super Kings","KKR","7 wickets","Kolkata","Apr 30, 2015","T20"
"91","Daredevils","Kings XI","Daredevils","9 wickets","Delhi","May 1, 2015","T20"
"92","Mum Indians","Royals","Mum Indians","8 runs","Mumbai","May 1, 2015","T20"
"93","RCB","KKR","RCB","7 wickets","Bangalore","May 2, 2015","T20"
"94","Sunrisers","Super Kings","Sunrisers","22 runs","Hyderabad (Deccan)","May 2, 2015","T20"
"95","Kings XI","Mum Indians","Mum Indians","23 runs","Mohali","May 3, 2015","T20"
"96","Royals","Daredevils","Royals","14 runs","Mumbai (BS)","May 3, 2015","T20"
"97","Super Kings","RCB","Super Kings","24 runs","Chennai","May 4, 2015","T20"
"98","KKR","Sunrisers","KKR","35 runs","Kolkata","May 4, 2015","T20"
"99","Mum Indians","Daredevils","Mum Indians","5 wickets","Mumbai","May 5, 2015","T20"
"100","RCB","Kings XI","RCB","138 runs","Bangalore","May 6, 2015","T20"
"101","Royals","Sunrisers","Sunrisers","7 runs","Mumbai (BS)","May 7, 2015","T20"
"102","KKR","Daredevils","KKR","13 runs","Kolkata","May 7, 2015","T20"
"103","Super Kings","Mum Indians","Mum Indians","6 wickets","Chennai","May 8, 2015","T20"
"104","KKR","Kings XI","KKR","1 wicket","Kolkata","May 9, 2015","T20"
"105","Daredevils","Sunrisers","Sunrisers","6 runs","Raipur","May 9, 2015","T20"
"106","Mum Indians","RCB","RCB","39 runs","Mumbai","May 10, 2015","T20"
"107","Super Kings","Royals","Super Kings","12 runs","Chennai","May 10, 2015","T20"
"108","Sunrisers","Kings XI","Sunrisers","5 runs","Hyderabad (Deccan)","May 11, 2015","T20"
"109","Daredevils","Super Kings","Daredevils","6 wickets","Raipur","May 12, 2015","T20"
"110","Kings XI","RCB","Kings XI","22 runs","Mohali","May 13, 2015","T20"
"111","Mum Indians","KKR","Mum Indians","5 runs","Mumbai","May 14, 2015","T20"
"112","Sunrisers","RCB","RCB","6 wickets","Hyderabad (Deccan)","May 15, 2015","T20"
"113","Kings XI","Super Kings","Super Kings","7 wickets","Mohali","May 16, 2015","T20"
"114","Royals","KKR","Royals","9 runs","Mumbai (BS)","May 16, 2015","T20"
"115","RCB","Daredevils","no result","","Bangalore","May 17, 2015","T20"
"116","Sunrisers","Mum Indians","Mum Indians","9 wickets","Hyderabad (Deccan)","May 17, 2015","T20"
"117","Super Kings","Mum Indians","Mum Indians","25 runs","Mumbai","May 19, 2015","T20"
"118","RCB","Royals","RCB","71 runs","Pune","May 20, 2015","T20"
"119","Super Kings","RCB","Super Kings","3 wickets","Ranchi","May 22, 2015","T20"
"120","Mum Indians","Super Kings","Mum Indians","41 runs","Kolkata","May 24, 2015","T20"
"121","Mum Indians","KKR","KKR","41 runs","Abu Dhabi","Apr 16, 2014","T20"
"122","Daredevils","RCB","RCB","8 wickets","Sharjah","Apr 17, 2014","T20"
"123","Super Kings","Kings XI","Kings XI","6 wickets","Abu Dhabi","Apr 18, 2014","T20"
"124","Sunrisers","Royals","Royals","4 wickets","Abu Dhabi","Apr 18, 2014","T20"
"125","RCB","Mum Indians","RCB","7 wickets","Dubai (DSC)","Apr 19, 2014","T20"
"126","KKR","Daredevils","Daredevils","4 wickets","Dubai (DSC)","Apr 19, 2014","T20"
"127","Royals","Kings XI","Kings XI","7 wickets","Sharjah","Apr 20, 2014","T20"
"128","Super Kings","Daredevils","Super Kings","93 runs","Abu Dhabi","Apr 21, 2014","T20"
"129","Kings XI","Sunrisers","Kings XI","72 runs","Sharjah","Apr 22, 2014","T20"
"130","Royals","Super Kings","Super Kings","7 runs","Dubai (DSC)","Apr 23, 2014","T20"
"131","RCB","KKR","KKR","2 runs","Sharjah","Apr 24, 2014","T20"
"132","Sunrisers","Daredevils","Sunrisers","4 runs","Dubai (DSC)","Apr 25, 2014","T20"
"133","Super Kings","Mum Indians","Super Kings","7 wickets","Dubai (DSC)","Apr 25, 2014","T20"
"134","Royals","RCB","Royals","6 wickets","Abu Dhabi","Apr 26, 2014","T20"
"135","KKR","Kings XI","Kings XI","23 runs","Abu Dhabi","Apr 26, 2014","T20"
"136","Daredevils","Mum Indians","Daredevils","6 wickets","Sharjah","Apr 27, 2014","T20"
"137","Sunrisers","Super Kings","Super Kings","5 wickets","Sharjah","Apr 27, 2014","T20"
"138","Kings XI","RCB","Kings XI","5 wickets","Dubai (DSC)","Apr 28, 2014","T20"
"139","KKR","Royals","tied","","Abu Dhabi","Apr 29, 2014","T20"
"140","Mum Indians","Sunrisers","Sunrisers","15 runs","Dubai (DSC)","Apr 30, 2014","T20"
"141","Super Kings","KKR","Super Kings","34 runs","Ranchi","May 2, 2014","T20"
"142","Mum Indians","Kings XI","Mum Indians","5 wickets","Mumbai","May 3, 2014","T20"
"143","Daredevils","Royals","Royals","7 wickets","Delhi","May 3, 2014","T20"
"144","RCB","Sunrisers","RCB","4 wickets","Bangalore","May 4, 2014","T20"
"145","Royals","KKR","Royals","10 runs","Ahmedabad","May 5, 2014","T20"
"146","Daredevils","Super Kings","Super Kings","8 wickets","Delhi","May 5, 2014","T20"
"147","Mum Indians","RCB","Mum Indians","19 runs","Mumbai","May 6, 2014","T20"
"148","Daredevils","KKR","KKR","8 wickets","Delhi","May 7, 2014","T20"
"149","Kings XI","Super Kings","Kings XI","44 runs","Cuttack","May 7, 2014","T20"
"150","Royals","Sunrisers","Sunrisers","32 runs","Ahmedabad","May 8, 2014","T20"
"151","RCB","Kings XI","Kings XI","32 runs","Bangalore","May 9, 2014","T20"
"152","Daredevils","Sunrisers","Sunrisers","8 wickets","Delhi","May 10, 2014","T20"
"153","Mum Indians","Super Kings","Super Kings","4 wickets","Mumbai","May 10, 2014","T20"
"154","Kings XI","KKR","KKR","9 wickets","Cuttack","May 11, 2014","T20"
"155","RCB","Royals","Royals","5 wickets","Bangalore","May 11, 2014","T20"
"156","Sunrisers","Mum Indians","Mum Indians","7 wickets","Hyderabad (Deccan)","May 12, 2014","T20"
"157","Super Kings","Royals","Super Kings","5 wickets","Ranchi","May 13, 2014","T20"
"158","RCB","Daredevils","RCB","16 runs","Bangalore","May 13, 2014","T20"
"159","Sunrisers","Kings XI","Kings XI","6 wickets","Hyderabad (Deccan)","May 14, 2014","T20"
"160","KKR","Mum Indians","KKR","6 wickets","Cuttack","May 14, 2014","T20"
"161","Royals","Daredevils","Royals","62 runs","Ahmedabad","May 15, 2014","T20"
"162","Super Kings","RCB","RCB","5 wickets","Ranchi","May 18, 2014","T20"
"163","Sunrisers","KKR","KKR","7 wickets","Hyderabad (Deccan)","May 18, 2014","T20"
"164","Royals","Mum Indians","Mum Indians","25 runs","Ahmedabad","May 19, 2014","T20"
"165","Daredevils","Kings XI","Kings XI","4 wickets","Delhi","May 19, 2014","T20"
"166","Sunrisers","RCB","Sunrisers","7 wickets","Hyderabad (Deccan)","May 20, 2014","T20"
"167","KKR","Super Kings","KKR","8 wickets","Kolkata","May 20, 2014","T20"
"168","Kings XI","Mum Indians","Mum Indians","7 wickets","Mohali","May 21, 2014","T20"
"169","KKR","RCB","KKR","30 runs","Kolkata","May 22, 2014","T20"
"170","Super Kings","Sunrisers","Sunrisers","6 wickets","Ranchi","May 22, 2014","T20"
"171","Mum Indians","Daredevils","Mum Indians","15 runs","Mumbai","May 23, 2014","T20"
"172","Kings XI","Royals","Kings XI","16 runs","Mohali","May 23, 2014","T20"
"173","RCB","Super Kings","Super Kings","8 wickets","Bangalore","May 24, 2014","T20"
"174","KKR","Sunrisers","KKR","4 wickets","Kolkata","May 24, 2014","T20"
"175","Kings XI","Daredevils","Kings XI","7 wickets","Mohali","May 25, 2014","T20"
"176","Mum Indians","Royals","Mum Indians","5 wickets","Mumbai","May 25, 2014","T20"
"177","Kings XI","KKR","KKR","28 runs","Kolkata","May 27-28, 2014","T20"
"178","Super Kings","Mum Indians","Super Kings","7 wickets","Mumbai (BS)","May 28, 2014","T20"
"179","Super Kings","Kings XI","Kings XI","24 runs","Mumbai","May 30, 2014","T20"
"180","KKR","Kings XI","KKR","3 wickets","Bangalore","Jun 1, 2014","T20"
"181","KKR","Daredevils","KKR","6 wickets","Kolkata","Apr 3, 2013","T20"
"182","RCB","Mum Indians","RCB","2 runs","Bangalore","Apr 4, 2013","T20"
"183","Sunrisers","Warriors","Sunrisers","22 runs","Hyderabad (Deccan)","Apr 5, 2013","T20"
"184","Daredevils","Royals","Royals","5 runs","Delhi","Apr 6, 2013","T20"
"185","Super Kings","Mum Indians","Mum Indians","9 runs","Chennai","Apr 6, 2013","T20"
"186","Warriors","Kings XI","Kings XI","8 wickets","Pune","Apr 7, 2013","T20"
"187","Sunrisers","RCB","tied","","Hyderabad (Deccan)","Apr 7, 2013","T20"
"188","Royals","KKR","Royals","19 runs","Jaipur","Apr 8, 2013","T20"
"189","RCB","Sunrisers","RCB","7 wickets","Bangalore","Apr 9, 2013","T20"
"190","Mum Indians","Daredevils","Mum Indians","44 runs","Mumbai","Apr 9, 2013","T20"
"191","Kings XI","Super Kings","Super Kings","10 wickets","Mohali","Apr 10, 2013","T20"
"192","RCB","KKR","RCB","8 wickets","Bangalore","Apr 11, 2013","T20"
"193","Warriors","Royals","Warriors","7 wickets","Pune","Apr 11, 2013","T20"
"194","Daredevils","Sunrisers","Sunrisers","3 wickets","Delhi","Apr 12, 2013","T20"
"195","Mum Indians","Warriors","Mum Indians","41 runs","Mumbai","Apr 13, 2013","T20"
"196","Super Kings","RCB","Super Kings","4 wickets","Chennai","Apr 13, 2013","T20"
"197","KKR","Sunrisers","KKR","48 runs","Kolkata","Apr 14, 2013","T20"
"198","Royals","Kings XI","Royals","6 wickets","Jaipur","Apr 14, 2013","T20"
"199","Super Kings","Warriors","Warriors","24 runs","Chennai","Apr 15, 2013","T20"
"200","Kings XI","KKR","Kings XI","4 runs","Mohali","Apr 16, 2013","T20"
"201","RCB","Daredevils","tied","","Bangalore","Apr 16, 2013","T20"
"202","Warriors","Sunrisers","Sunrisers","11 runs","Pune","Apr 17, 2013","T20"
