"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team"
"236",236,7,"R Bhatia","2011-2013",54,"27","12","240","26*","16.00","219","109.58","0","0","0","19","6","KKR"
"237",237,8,"MS Bisla","2011-2014",38,"37","1","719","92","19.97","628","114.49","0","3","2","83","23","KKR"
"238",238,9,"SE Bond","2010-2010",8,"1","0","1","1","1.00","2","50.00","0","0","0","0","0","KKR"
"239",239,10,"J Botha","2015-2015",4,"3","0","31","17","10.33","15","206.66","0","0","0","5","1","KKR"
"240",240,11,"MV Boucher","2011-2011",4,"3","2","6","5","6.00","6","100.00","0","0","0","0","0","KKR"
"241",241,12,"KC Cariappa","2015-2015",1,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"242",242,13,"PP Chawla","2014-2016",42,"18","8","121","22","12.10","95","127.36","0","0","4","15","3","KKR"
"243",243,14,"A Chopra","2008-2009",7,"6","0","53","24","8.83","71","74.64","0","0","0","7","0","KKR"
"244",244,15,"PJ Cummins","2014-2015",7,"3","1","8","8","4.00","10","80.00","0","0","1","0","0","KKR"
"245",245,16,"DB Das","2008-2013",33,"23","9","347","43*","24.78","280","123.92","0","0","1","29","18","KKR"
"246",246,17,"M de Lange","2012-2012",3,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"247",247,18,"AB Dinda","2008-2010",29,"6","2","4","2","1.00","8","50.00","0","0","2","0","0","KKR"
"248",248,19,"P Dogra","2013-2013",1,"1","0","5","5","5.00","8","62.50","0","0","0","0","0","KKR"
"249",249,20,"G Gambhir","2011-2016",106,"105","10","2847","93","29.96","2293","124.16","0","26","12","321","48","KKR"
"250",250,21,"SC Ganguly","2008-2010",40,"38","2","1031","91","28.63","933","110.50","0","7","3","104","36","KKR"
"251",251,22,"RS Gavaskar","2010-2010",2,"1","0","2","2","2.00","8","25.00","0","0","0","0","0","KKR"
"252",252,23,"CH Gayle","2009-2010",16,"16","1","463","88","30.86","327","141.59","0","2","1","45","26","KKR"
"253",253,24,"AN Ghosh","2009-2009",2,"2","0","7","7","3.50","8","87.50","0","0","1","1","0","KKR"
"254",254,25,"SP Goswami","2011-2011",7,"6","1","51","22","10.20","54","94.44","0","0","1","5","0","KKR"
"255",255,26,"BJ Haddin","2011-2011",2,"2","0","60","42","30.00","38","157.89","0","0","0","7","3","KKR"
"256",256,27,"Harpreet Singh","2010-2010",1,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"257",257,28,"JW Hastings","2016-2016",2,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"258",258,29,"MC Henriques","2009-2009",4,"3","1","38","30*","19.00","40","95.00","0","0","0","2","1","KKR"
"259",259,30,"BJ Hodge","2008-2010",19,"19","3","476","73","29.75","417","114.14","0","4","2","47","10","KKR"
"260",260,31,"GB Hogg","2015-2016",11,"3","2","7","5","7.00","6","116.66","0","0","0","0","0","KKR"
"261",261,32,"JO Holder","2016-2016",4,"4","0","22","13","5.50","19","115.78","0","0","1","2","1","KKR"
"262",262,33,"DJ Hussey","2008-2010",23,"23","4","511","71","26.89","404","126.48","0","2","3","31","28","KKR"
"263",263,34,"Iqbal Abdulla","2008-2013",41,"10","10","37","12*","-","35","105.71","0","0","0","2","1","KKR"
"264",264,35,"JH Kallis","2011-2014",70,"67","10","1603","80*","28.12","1480","108.31","0","10","6","151","32","KKR"
"265",265,36,"M Kartik","2008-2010",26,"7","2","73","21","14.60","69","105.79","0","0","0","5","0","KKR"
"266",266,37,"Kuldeep Yadav","2014-2016",8,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"267",267,38,"CK Langeveldt","2009-2010",4,"1","0","0","0","0.00","1","0.00","0","0","1","0","0","KKR"
"268",268,39,"B Lee","2011-2013",34,"12","4","83","25","10.37","55","150.90","0","0","1","4","7","KKR"
"269",269,40,"CA Lynn","2014-2016",4,"4","1","83","45","27.66","71","116.90","0","0","0","5","4","KKR"
"270",270,41,"BB McCullum","2008-2013",39,"38","3","958","158*","27.37","788","121.57","1","4","3","98","37","KKR"
"271",271,42,"R McLaren","2013-2013",2,"2","0","3","2","1.50","6","50.00","0","0","0","0","0","KKR"
"272",272,43,"Mandeep Singh","2010-2010",3,"2","0","4","4","2.00","11","36.36","0","0","1","1","0","KKR"
"273",273,44,"Mashrafe Mortaza","2009-2009",1,"1","1","2","2*","-","2","100.00","0","0","0","0","0","KKR"
"274",274,45,"AD Mathews","2009-2010",15,"12","4","249","65*","31.12","197","126.39","0","1","1","20","8","KKR"
"275",275,46,"BAW Mendis","2008-2010",7,"2","1","1","1*","1.00","2","50.00","0","0","1","0","0","KKR"
"276",276,47,"Mohammad Hafeez","2008-2008",8,"8","1","64","16","9.14","83","77.10","0","0","0","7","2","KKR"
"277",277,48,"Mohammed Shami","2011-2013",4,"1","0","5","5","5.00","10","50.00","0","0","0","0","0","KKR"
"278",278,49,"EJG Morgan","2011-2013",26,"22","2","444","66","22.20","357","124.36","0","2","1","45","16","KKR"
"279",279,50,"M Morkel","2014-2016",29,"5","5","9","4*","-","7","128.57","0","0","0","0","0","KKR"
"280",280,51,"C Munro","2016-2016",4,"3","0","30","16","10.00","30","100.00","0","0","0","3","0","KKR"
"281",281,52,"SP Narine","2012-2016",75,"19","12","48","13","6.85","57","84.21","0","0","2","2","2","KKR"
"282",282,53,"S Narwal","2013-2013",2,"1","0","23","23","23.00","15","153.33","0","0","0","4","0","KKR"
"283",283,54,"MK Pandey","2014-2016",46,"44","8","1046","94","29.05","829","126.17","0","5","4","90","34","KKR"
"284",284,55,"MB Parmar","2010-2010",1,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"285",285,56,"YK Pathan","2011-2016",107,"92","32","1918","72","31.96","1401","136.90","0","6","7","149","87","KKR"
"286",286,57,"RT Ponting","2008-2008",4,"4","0","39","20","9.75","53","73.58","0","0","2","2","1","KKR"
"287",287,58,"CA Pujara","2010-2010",10,"6","2","122","45*","30.50","115","106.08","0","0","0","14","3","KKR"
"288",288,59,"AS Rajpoot","2016-2016",4,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"289",289,60,"AD Russell","2014-2016",33,"25","4","581","66","27.66","327","177.67","0","4","0","49","39","KKR"
"290",290,61,"WP Saha","2008-2010",33,"24","13","298","59*","27.09","213","139.90","0","1","1","24","12","KKR"
"291",291,62,"Salman Butt","2008-2008",7,"7","0","193","73","27.57","161","119.87","0","1","0","30","2","KKR"
"292",292,63,"PJ Sangwan","2012-2013",5,"2","2","15","11*","-","14","107.14","0","0","0","2","0","KKR"
"293",293,64,"SS Sarkar","2009-2009",2,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"294",294,65,"R Sathish","2016-2016",4,"3","0","24","10","8.00","24","100.00","0","0","0","1","1","KKR"
"295",295,66,"SMSM Senanayake","2013-2013",8,"4","3","10","7*","10.00","17","58.82","0","0","0","0","0","KKR"
"296",296,67,"OA Shah","2010-2010",5,"5","3","115","58*","57.50","95","121.05","0","1","0","7","5","KKR"
"297",297,68,"SS Shaikh","2009-2009",2,"1","0","6","6","6.00","7","85.71","0","0","0","1","0","KKR"
"298",298,69,"Shakib Al Hasan","2011-2016",48,"35","8","542","66*","20.07","430","126.04","0","2","2","46","17","KKR"
"299",299,70,"I Sharma","2008-2010",31,"11","7","33","9","8.25","41","80.48","0","0","1","2","1","KKR"
"300",300,71,"Shoaib Akhtar","2008-2008",3,"1","0","2","2","2.00","7","28.57","0","0","0","0","0","KKR"
"301",301,72,"LR Shukla","2008-2013",42,"31","7","374","48*","15.58","312","119.87","0","0","2","31","14","KKR"
"302",302,73,"T Taibu","2008-2008",3,"3","0","31","15","10.33","26","119.23","0","0","0","3","0","KKR"
"303",303,74,"RN ten Doeschate","2011-2015",41,"29","9","485","70*","24.25","357","135.85","0","2","4","35","22","KKR"
"304",304,75,"MK Tiwary","2010-2013",64,"56","16","1136","75*","28.40","1029","110.39","0","4","6","94","26","KKR"
"305",305,76,"Umar Gul","2008-2008",6,"4","1","39","24","13.00","19","205.26","0","0","0","1","5","KKR"
"306",306,77,"JD Unadkat","2010-2016",15,"-","-","-","-","-","-","-","-","-","-","-","-","KKR"
"307",307,78,"RV Uthappa","2014-2016",49,"49","3","1628","85*","35.39","1205","135.10","0","10","2","189","36","KKR"
"308",308,79,"MN van Wyk","2009-2009",5,"5","2","167","74","55.66","132","126.51","0","1","1","19","1","KKR"
"309",309,80,"R Vinay Kumar","2014-2014",9,"4","2","4","4","2.00","6","66.66","0","0","1","0","0","KKR"
"310",310,81,"SA Yadav","2014-2016",50,"38","15","579","60","25.17","416","139.18","0","1","2","49","24","KKR"
"311",311,82,"UT Yadav","2014-2016",34,"7","4","40","24*","13.33","23","173.91","0","0","1","5","2","KKR"
"312",312,83,"Yashpal Singh","2009-2009",8,"4","0","47","20","11.75","66","71.21","0","0","0","5","0","KKR"
"313",313,1,"KJ Abbott","2016-2016",5,"3","2","13","12*","13.00","8","162.50","0","0","1","0","1","KXIP"
"314",314,2,"YA Abdulla","2009-2010",11,"1","1","0","0*","-","1","0.00","0","0","0","0","0","KXIP"
"315",315,3,"L Ablish","2010-2011",3,"1","1","0","0*","-","2","0.00","0","0","0","0","0","KXIP"
"316",316,4,"HM Amla","2016-2016",6,"6","0","157","96","26.16","119","131.93","0","1","1","20","4","KXIP"
"317",317,5,"Anureet Singh","2014-2016",21,"7","3","34","16","8.50","41","82.92","0","0","2","0","3","KXIP"
"318",318,6,"P Awana","2012-2014",38,"8","5","5","4*","1.66","16","31.25","0","0","3","0","0","KXIP"
"319",319,7,"Azhar Mahmood","2012-2013",22,"20","2","382","80","21.22","296","129.05","0","2","2","38","13","KXIP"
"320",320,8,"GJ Bailey","2014-2015",35,"33","10","581","61*","25.26","437","132.95","0","2","0","49","17","KXIP"
"321",321,9,"L Balaji","2014-2014",9,"2","1","1","1*","1.00","3","33.33","0","0","1","0","0","KXIP"
"322",322,10,"AB Barath","2010-2010",3,"3","1","42","33","21.00","42","100.00","0","0","0","5","1","KXIP"
"323",323,11,"F Behardien","2016-2016",3,"3","1","14","9*","7.00","13","107.69","0","0","1","2","0","KXIP"
"324",324,12,"BA Bhatt","2011-2013",17,"2","1","6","6*","6.00","7","85.71","0","0","1","0","1","KXIP"
"325",325,13,"Bipul Sharma","2010-2013",15,"9","5","104","35*","26.00","72","144.44","0","0","0","8","3","KXIP"
"326",326,14,"MS Bisla","2010-2010",10,"10","0","218","75","21.80","178","122.47","0","1","1","27","6","KXIP"
"327",327,15,"RS Bopara","2009-2010",15,"14","1","386","84","29.69","333","115.91","0","3","1","33","10","KXIP"
"328",328,16,"RR Bose","2009-2009",1,"-","-","-","-","-","-","-","-","-","-","-","-","KXIP"
"329",329,17,"KC Cariappa","2016-2016",5,"2","1","13","12*","13.00","11","118.18","0","0","0","0","1","KXIP"
"330",330,18,"PP Chawla","2008-2013",87,"52","21","401","24*","12.93","355","112.95","0","0","7","36","12","KXIP"
"331",331,19,"SD Chitnis","2011-2012",7,"5","1","75","38","18.75","71","105.63","0","0","0","8","1","KXIP"
"332",332,20,"P Dharmani","2008-2008",1,"-","-","-","-","-","-","-","-","-","-","-","-","KXIP"
"333",333,21,"R Dhawan","2014-2016",20,"13","9","132","25*","33.00","114","115.78","0","0","0","10","4","KXIP"
"334",334,22,"P Dogra","2012-2012",3,"3","1","15","6","7.50","24","62.50","0","0","0","0","0","KXIP"
"335",335,23,"JP Faulkner","2012-2012",2,"2","1","14","11*","14.00","13","107.69","0","0","0","0","0","KXIP"
"336",336,24,"Gagandeep Singh","2008-2008",4,"-","-","-","-","-","-","-","-","-","-","-","-","KXIP"
"337",337,25,"AC Gilchrist","2011-2013",34,"34","3","849","106","27.38","667","127.28","1","4","3","103","28","KXIP"
"338",338,26,"K Goel","2008-2010",22,"17","2","218","38","14.53","231","94.37","0","0","2","17","9","KXIP"
"339",339,27,"MS Gony","2013-2013",8,"5","1","45","42","11.25","25","180.00","0","0","2","4","3","KXIP"
"340",340,28,"Gurkeerat Singh","2012-2016",28,"24","3","342","51","16.28","272","125.73","0","1","4","36","9","KXIP"
"341",341,29,"Harmeet Singh","2012-2013",10,"3","1","18","14","9.00","11","163.63","0","0","0","3","0","KXIP"
"342",342,30,"RJ Harris","2011-2013",21,"11","4","51","17","7.28","55","92.72","0","0","2","4","1","KXIP"
"343",343,31,"BE Hendricks","2014-2015",7,"3","2","1","1*","1.00","3","33.33","0","0","1","0","0","KXIP"
"344",344,32,"JR Hopes","2008-2008",11,"11","0","221","71","20.09","148","149.32","0","2","1","27","8","KXIP"
"345",345,33,"DJ Hussey","2011-2013",36,"34","6","695","68*","24.82","577","120.45","0","2","1","51","26","KXIP"
"346",346,34,"DPMD Jayawardene","2008-2010",36,"35","12","837","110*","36.39","594","140.90","1","2","1","87","25","KXIP"
"347",347,35,"MG Johnson","2014-2016",26,"19","10","92","16*","10.22","100","92.00","0","0","2","5","4","KXIP"
"348",348,36,"M Kaif","2010-2010",4,"3","0","28","14","9.33","30","93.33","0","0","0","2","0","KXIP"
"349",349,37,"Karanveer Singh","2014-2015",14,"5","4","29","17*","29.00","42","69.04","0","0","0","2","0","KXIP"
"350",350,38,"KD Karthik","2011-2011",14,"13","2","282","69","25.63","220","128.18","0","1","1","32","7","KXIP"
"351",351,39,"M Kartik","2014-2014",2,"-","-","-","-","-","-","-","-","-","-","-","-","KXIP"
"352",352,40,"SM Katich","2008-2009",11,"11","1","241","75","24.10","186","129.56","0","2","1","25","8","KXIP"
"353",353,41,"U Kaul","2008-2008",5,"1","1","0","0*","-","1","0.00","0","0","0","0","0","KXIP"
"354",354,42,"T Kohli","2009-2009",2,"2","1","1","1","1.00","4","25.00","0","0","0","0","0","KXIP"
"355",355,43,"P Kumar","2011-2013",44,"21","9","109","24","9.08","100","109.00","0","0","3","7","5","KXIP"
"356",356,44,"B Lee","2008-2010",13,"10","6","56","16*","14.00","56","100.00","0","0","1","5","2","KXIP"
"357",357,45,"R McLaren","2011-2011",6,"4","1","90","51*","30.00","96","93.75","0","1","0","7","1","KXIP"
"358",358,46,"VS Malik","2009-2011",9,"1","0","6","6","6.00","5","120.00","0","0","0","1","0","KXIP"
"359",359,47,"Mandeep Singh","2011-2014",41,"38","2","763","77*","21.19","632","120.72","0","3","4","95","8","KXIP"
"360",360,48,"SE Marsh","2008-2016",62,"61","7","2213","115","40.98","1672","132.35","1","18","1","230","73","KXIP"
"361",361,49,"AD Mascarenhas","2012-2013",5,"4","1","19","9","6.33","21","90.47","0","0","1","1","0","KXIP"
"362",362,50,"GJ Maxwell","2014-2016",43,"43","2","965","95","23.53","592","163.00","0","6","6","83","56","KXIP"
"363",363,51,"DA Miller","2012-2016",66,"65","22","1604","101*","37.30","1108","144.76","1","8","2","112","78","KXIP"
"364",364,52,"WA Mota","2008-2009",12,"8","2","56","25","9.33","75","74.66","0","0","0","2","0","KXIP"
"365",365,53,"NS Naik","2016-2016",2,"2","0","23","22","11.50","31","74.19","0","0","0","1","0","KXIP"
"366",366,54,"AM Nayar","2011-2012",14,"13","3","106","24","10.60","116","91.37","0","0","2","11","1","KXIP"
"367",367,55,"MG Neser","2013-2013",1,"-","-","-","-","-","-","-","-","-","-","-","-","KXIP"
"368",368,56,"AR Patel","2014-2016",50,"32","9","433","42*","18.82","338","128.10","0","0","3","30","19","KXIP"
"369",369,57,"IK Pathan","2008-2010",42,"35","11","603","60","25.12","460","131.08","0","1","1","47","22","KXIP"
"370",370,58,"NLTC Perera","2014-2015",7,"6","1","63","35*","12.60","50","126.00","0","0","2","5","3","KXIP"
"371",371,59,"LA Pomersbach","2008-2013",12,"12","5","251","79*","35.85","207","121.25","0","1","0","21","11","KXIP"
"372",372,60,"RR Powar","2008-2012",22,"7","5","56","28*","28.00","51","109.80","0","0","0","6","1","KXIP"
"373",373,61,"CA Pujara","2014-2014",6,"6","1","125","40*","25.00","124","100.80","0","0","0","17","0","KXIP"
"374",374,62,"NJ Rimmington","2011-2011",1,"1","1","1","1*","-","1","100.00","0","0","0","0","0","KXIP"
"375",375,63,"WP Saha","2014-2016",48,"43","5","956","115*","25.15","725","131.86","1","4","0","84","30","KXIP"
"376",376,64,"P Sahu","2016-2016",5,"2","1","19","18*","19.00","13","146.15","0","0","0","1","1","KXIP"
"377",377,65,"N Saini","2012-2012",10,"10","0","140","50","14.00","141","99.29","0","1","0","16","0","KXIP"
"378",378,66,"Sandeep Sharma","2013-2016",43,"9","8","19","7","19.00","29","65.51","0","0","0","1","0","KXIP"
"379",379,67,"KC Sangakkara","2008-2010",37,"34","2","1009","94","31.53","779","129.52","0","8","2","117","18","KXIP"
"380",380,68,"RR Sarwan","2008-2008",4,"4","0","73","31","18.25","75","97.33","0","0","0","6","1","KXIP"
"381",381,69,"R Sathish","2013-2013",9,"8","3","109","27*","21.80","77","141.55","0","0","1","9","5","KXIP"
"382",382,70,"V Sehwag","2014-2015",30,"30","0","660","122","22.00","493","133.87","1","2","3","79","23","KXIP"
"383",383,71,"MM Sharma","2016-2016",14,"6","2","32","15","8.00","26","123.07","0","0","0","3","1","KXIP"
"384",384,72,"Shivam Sharma","2014-2015",5,"2","1","5","4","5.00","3","166.66","0","0","0","1","0","KXIP"
"385",385,73,"VRV Singh","2008-2010",19,"2","0","4","4","2.00","3","133.33","0","0","1","1","0","KXIP"
"386",386,74,"RS Sodhi","2010-2010",3,"1","1","4","4*","-","2","200.00","0","0","0","1","0","KXIP"
"387",387,75,"S Sohal","2008-2010",11,"10","0","119","43","11.90","101","117.82","0","0","2","9","8","KXIP"
"388",388,76,"S Sreesanth","2008-2010",28,"8","7","32","15*","32.00","42","76.19","0","0","1","6","0","KXIP"
"389",389,77,"SJ Srivastava","2010-2011",14,"4","3","5","3*","5.00","5","100.00","0","0","1","0","0","KXIP"
"390",390,78,"TM Srivastava","2008-2009",7,"3","2","8","7","8.00","11","72.72","0","0","0","0","0","KXIP"
"391",391,79,"MP Stoinis","2016-2016",7,"5","1","146","52","36.50","108","135.18","0","1","1","13","4","KXIP"
"392",392,80,"Sunny Singh","2011-2011",6,"5","1","43","20","10.75","31","138.70","0","0","0","6","1","KXIP"
"393",393,81,"Swapnil Singh","2016-2016",1,"1","0","0","0","0.00","1","0.00","0","0","1","0","0","KXIP"
"394",394,82,"SN Thakur","2015-2015",1,"1","1","7","7*","-","6","116.66","0","0","0","1","0","KXIP"
"395",395,83,"J Theron","2010-2010",7,"2","0","2","2","1.00","5","40.00","0","0","1","0","0","KXIP"
"396",396,84,"PC Valthaty","2011-2013",21,"21","1","499","120*","24.95","406","122.90","1","2","1","59","20","KXIP"
"397",397,85,"M Vijay","2015-2016",25,"25","1","704","89","29.33","592","118.91","0","5","1","77","18","KXIP"
"398",398,86,"M Vohra","2013-2016",39,"37","2","877","67","25.05","666","131.68","0","3","2","92","30","KXIP"
"399",399,87,"Yuvraj Singh","2008-2010",43,"42","5","894","58*","24.16","677","132.05","0","3","0","69","49","KXIP"
"400",400,1,"AN Ahmed","2010-2013",17,"4","4","24","18*","-","24","100.00","0","0","0","1","1","MI"
"401",401,2,"CJ Anderson","2014-2015",16,"15","3","379","95*","31.58","278","136.33","0","3","0","32","21","MI"
"402",402,3,"STR Binny","2010-2010",1,"1","0","8","8","8.00","5","160.00","0","0","0","1","0","MI"
"403",403,4,"AC Blizzard","2011-2012",13,"13","0","227","54","17.46","189","120.10","0","2","1","31","7","MI"
"404",404,5,"DJ Bravo","2008-2010",33,"27","4","508","70*","22.08","419","121.24","0","3","0","45","19","MI"
"405",405,6,"JJ Bumrah","2013-2016",34,"5","4","9","6","9.00","14","64.28","0","0","0","1","0","MI"
"406",406,7,"JC Buttler","2016-2016",14,"14","3","255","41","23.18","184","138.58","0","0","1","23","11","MI"
"407",407,8,"YS Chahal","2011-2013",7,"2","1","4","2*","4.00","5","80.00","0","0","0","0","0","MI"
"408",408,9,"UBT Chand","2015-2016",7,"6","0","102","58","17.00","87","117.24","0","1","1","13","2","MI"
"409",409,10,"SD Chitnis","2008-2008",3,"2","0","18","15","9.00","10","180.00","0","0","0","1","1","MI"
"410",410,11,"NM Coulter-Nile","2013-2013",6,"2","1","21","12*","21.00","11","190.90","0","0","0","1","2","MI"
"411",411,12,"M de Lange","2014-2015",2,"1","0","1","1","1.00","2","50.00","0","0","0","0","0","MI"
"412",412,13,"R Dhawan","2013-2013",11,"5","2","21","14","7.00","21","100.00","0","0","1","3","0","MI"
"413",413,14,"S Dhawan","2009-2010",19,"18","0","345","56","19.16","326","105.82","0","2","1","33","8","MI"
"414",414,15,"JP Duminy","2009-2010",24,"23","6","586","62","34.47","508","115.35","0","5","1","43","17","MI"
"415",415,16,"BR Dunk","2014-2014",3,"3","0","40","20","13.33","35","114.28","0","0","0","7","0","MI"
"416",416,17,"CRD Fernando","2008-2010",10,"2","2","4","2*","-","3","133.33","0","0","0","0","0","MI"
"417",417,18,"AJ Finch","2015-2015",3,"3","1","23","10*","11.50","33","69.69","0","0","0","4","0","MI"
"418",418,19,"JEC Franklin","2011-2012",25,"21","6","434","79","28.93","410","105.85","0","1","1","32","12","MI"
"419",419,20,"CM Gautam","2014-2014",9,"9","2","121","33","17.28","111","109.00","0","0","0","13","5","MI"
"420",420,21,"HH Gibbs","2012-2012",3,"3","1","81","66*","40.50","88","92.04","0","1","0","8","2","MI"
"421",421,22,"S Gopal","2014-2016",8,"4","1","38","24","12.66","39","97.43","0","0","0","3","1","MI"
"422",422,23,"MJ Guptill","2016-2016",3,"3","0","57","48","19.00","55","103.63","0","0","0","3","3","MI"
"423",423,24,"Harbhajan Singh","2008-2016",147,"92","36","931","64","16.62","654","142.35","0","1","13","89","48","MI"
"424",424,25,"MEK Hussey","2014-2014",12,"12","0","304","60","25.33","260","116.92","0","3","0","25","11","MI"
"425",425,26,"DJ Jacobs","2011-2012",8,"8","0","110","32","13.75","113","97.34","0","0","1","13","4","MI"
"426",426,27,"ST Jayasuriya","2008-2010",30,"30","2","768","114*","27.42","532","144.36","1","4","2","84","39","MI"
"427",427,28,"MG Johnson","2012-2013",23,"9","4","74","30","14.80","71","104.22","0","0","0","6","2","MI"
"428",428,29,"S Kanwar","2011-2011",4,"4","0","65","45","16.25","45","144.44","0","0","0","5","6","MI"
"429",429,30,"KD Karthik","2012-2013",45,"41","5","934","86","25.94","760","122.89","0","3","3","98","28","MI"
"430",430,31,"Z Khan","2009-2014",30,"14","11","40","23*","13.33","32","125.00","0","0","1","3","2","MI"
"431",431,32,"MA Khote","2008-2008",4,"3","1","24","9","12.00","22","109.09","0","0","0","2","1","MI"
"432",432,33,"DS Kulkarni","2008-2013",36,"8","5","23","10*","7.66","42","54.76","0","0","0","2","0","MI"
"433",433,34,"P Kumar","2014-2014",4,"2","1","21","20*","21.00","16","131.25","0","0","0","3","0","MI"
"434",434,35,"RE Levi","2012-2012",6,"6","0","83","50","13.83","73","113.69","0","1","2","10","4","MI"
"435",435,36,"MJ McClenaghan","2015-2016",26,"8","4","47","20","11.75","29","162.06","0","0","1","2","5","MI"
"436",436,37,"CJ McKay","2012-2012",2,"1","0","8","8","8.00","15","53.33","0","0","0","0","0","MI"
"437",437,38,"R McLaren","2010-2010",11,"8","5","67","40","22.33","70","95.71","0","0","1","7","0","MI"
"438",438,39,"C Madan","2010-2010",1,"1","0","15","15","15.00","19","78.94","0","0","0","3","0","MI"
"439",439,40,"SL Malinga","2009-2015",115,"31","11","171","37*","8.55","146","117.12","0","0","6","13","11","MI"
"440",440,41,"GJ Maxwell","2013-2013",5,"5","1","83","37","20.75","48","172.91","0","0","1","7","6","MI"
"441",441,42,"Mohammad Ashraful","2009-2009",1,"1","0","2","2","2.00","10","20.00","0","0","0","0","0","MI"
"442",442,43,"AG Murtaza","2010-2011",11,"1","1","2","2*","-","5","40.00","0","0","0","0","0","MI"
"443",443,44,"C Nanda","2009-2009",3,"1","0","0","0","0.00","1","0.00","0","0","1","0","0","MI"
"444",444,45,"GR Napier","2009-2009",1,"1","0","15","15","15.00","16","93.75","0","0","0","1","0","MI"
"445",445,46,"AM Nayar","2008-2010",30,"24","5","457","45*","24.05","341","134.01","0","0","0","34","18","MI"
"446",446,47,"A Nehra","2008-2008",14,"4","3","3","2*","3.00","13","23.07","0","0","1","0","0","MI"
"447",447,48,"A Nel","2008-2008",1,"1","0","0","0","0.00","0","-","0","0","1","0","0","MI"
"448",448,49,"PP Ojha","2012-2015",50,"11","7","11","3","2.75","27","40.74","0","0","1","0","0","MI"
"449",449,50,"JDP Oram","2013-2013",1,"-","-","-","-","-","-","-","-","-","-","-","-","MI"
"450",450,51,"MK Pandey","2008-2008",3,"2","0","3","3","1.50","9","33.33","0","0","1","0","0","MI"
"451",451,52,"HH Pandya","2015-2016",20,"17","5","156","61*","13.00","125","124.80","0","1","2","13","8","MI"
"452",452,53,"KH Pandya","2016-2016",12,"9","3","237","86","39.50","124","191.12","0","1","0","22","13","MI"
"453",453,54,"MM Patel","2011-2013",32,"5","4","2","1*","2.00","8","25.00","0","0","1","0","0","MI"
"454",454,55,"PA Patel","2015-2016",24,"24","1","516","81","22.43","398","129.64","0","3","3","70","9","MI"
"455",455,56,"RV Pawar","2008-2008",1,"-","-","-","-","-","-","-","-","-","-","-","-","MI"
"456",456,57,"NLTC Perera","2012-2012",3,"3","1","6","4*","3.00","13","46.15","0","0","1","0","0","MI"
"457",457,58,"RJ Peterson","2012-2012",5,"5","2","32","16*","10.66","30","106.66","0","0","1","3","1","MI"
"458",458,59,"KA Pollard","2010-2016",128,"119","34","2461","78","28.95","1670","147.36","0","11","3","163","160","MI"
"459",459,60,"SM Pollock","2008-2008",13,"8","0","147","33","18.37","111","132.43","0","0","2","12","8","MI"
"460",460,61,"RT Ponting","2013-2013",6,"5","0","52","28","10.40","75","69.33","0","0","1","3","1","MI"
"461",461,62,"RW Price","2011-2011",1,"-","-","-","-","-","-","-","-","-","-","-","-","MI"
"462",462,63,"AM Rahane","2008-2009",10,"9","1","148","62*","18.50","140","105.71","0","2","2","13","3","MI"
"463",463,64,"RR Raje","2008-2009",10,"5","4","20","11*","20.00","18","111.11","0","0","0","1","1","MI"
"464",464,65,"N Rana","2016-2016",4,"3","0","104","70","34.66","75","138.66","0","1","0","7","8","MI"
"465",465,66,"AT Rayudu","2010-2016",131,"122","19","2544","81*","24.69","2058","123.61","0","13","9","214","81","MI"
"466",466,67,"L Ronchi","2008-2009",5,"5","0","34","13","6.80","34","100.00","0","0","1","6","1","MI"
