"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team"
"467",467,68,"K Santokie","2014-2014",2,"-","-","-","-","-","-","-","-","-","-","-","-","MI"
"468",468,69,"R Sathish","2010-2011",28,"20","6","223","25*","15.92","206","108.25","0","0","1","18","4","MI"
"469",469,70,"Jalaj S Saxena","2014-2014",3,"2","0","10","10","5.00","9","111.11","0","0","1","0","1","MI"
"470",470,71,"PR Shah","2008-2009",14,"9","2","87","29","12.42","86","101.16","0","0","1","8","2","MI"
"471",471,72,"RA Shaikh","2009-2009",1,"-","-","-","-","-","-","-","-","-","-","-","-","MI"
"472",472,73,"RG Sharma","2011-2016",106,"103","18","2977","109*","35.02","2260","131.72","1","22","6","245","128","MI"
"473",473,74,"R Shukla","2012-2012",1,"-","-","-","-","-","-","-","-","-","-","-","-","MI"
"474",474,75,"LMP Simmons","2014-2016",25,"25","3","1038","100*","47.18","822","126.27","1","10","1","113","37","MI"
"475",475,76,"RP Singh","2012-2012",11,"5","3","6","3","3.00","12","50.00","0","0","1","0","0","MI"
"476",476,77,"DR Smith","2008-2013",33,"31","3","945","87*","33.75","722","130.88","0","7","2","97","41","MI"
"477",477,78,"TG Southee","2016-2016",11,"4","1","30","25","10.00","19","157.89","0","0","0","1","2","MI"
"478",478,79,"J Suchith","2015-2016",14,"6","5","48","34*","48.00","32","150.00","0","0","0","4","2","MI"
"479",479,80,"TL Suman","2011-2012",12,"11","1","95","36","9.50","90","105.55","0","0","0","7","6","MI"
"480",480,81,"P Suyal","2013-2015",5,"-","-","-","-","-","-","-","-","-","-","-","-","MI"
"481",481,82,"A Symonds","2011-2011",15,"13","6","161","44*","23.00","169","95.26","0","0","1","13","3","MI"
"482",482,83,"YV Takawale","2008-2009",11,"5","2","88","27","29.33","87","101.14","0","0","0","9","2","MI"
"483",483,84,"AP Tare","2010-2015",32,"25","4","357","59","17.00","281","127.04","0","1","2","39","13","MI"
"484",484,85,"SR Tendulkar","2008-2013",91,"91","11","2599","100*","32.48","2191","118.62","1","14","5","329","33","MI"
"485",485,86,"DJ Thornely","2008-2008",6,"4","2","39","30","19.50","53","73.58","0","0","0","2","2","MI"
"486",486,87,"SS Tiwary","2008-2010",26,"23","4","540","61","28.42","399","135.33","0","3","2","36","24","MI"
"487",487,88,"RV Uthappa","2008-2008",14,"14","5","320","48","35.55","279","114.69","0","0","0","34","9","MI"
"488",488,89,"R Vinay Kumar","2015-2016",16,"5","3","13","12","6.50","14","92.85","0","0","1","0","1","MI"
"489",489,90,"SA Yadav","2011-2012",3,"3","1","47","24","23.50","40","117.50","0","0","1","5","1","MI"
"490",490,91,"VS Yeligati","2008-2008",2,"1","0","2","2","2.00","2","100.00","0","0","0","0","0","MI"
"491",491,1,"VR Aaron","2014-2016",24,"5","4","41","17*","41.00","37","110.81","0","0","0","2","2","RCB"
"492",492,2,"SA Abbott","2015-2015",2,"2","0","15","14","7.50","13","115.38","0","0","0","1","1","RCB"
"493",493,3,"Abdur Razzak","2008-2008",1,"1","1","0","0*","-","2","0.00","0","0","0","0","0","RCB"
"494",494,4,"MA Agarwal","2011-2013",35,"30","1","492","64*","16.96","382","128.79","0","1","2","43","28","RCB"
"495",495,5,"AN Ahmed","2014-2015",7,"4","3","14","5*","14.00","6","233.33","0","0","0","3","0","RCB"
"496",496,6,"B Akhil","2008-2010",18,"11","6","81","27*","16.20","59","137.28","0","0","2","7","4","RCB"
"497",497,7,"KP Appanna","2009-2012",14,"3","2","2","1*","2.00","4","50.00","0","0","0","0","0","RCB"
"498",498,8,"S Aravind","2011-2016",34,"8","7","38","14*","38.00","26","146.15","0","0","0","6","0","RCB"
"499",499,9,"KB Arun Karthik","2011-2013",20,"10","4","67","19*","11.16","58","115.51","0","0","2","4","3","RCB"
"500",500,10,"J Arunkumar","2008-2008",3,"3","0","23","22","7.66","23","100.00","0","0","1","5","0","RCB"
"501",501,11,"RR Bhatkal","2011-2012",6,"5","1","36","25","9.00","34","105.88","0","0","1","2","1","RCB"
"502",502,12,"STR Binny","2016-2016",14,"6","2","63","21","15.75","39","161.53","0","0","0","5","4","RCB"
"503",503,13,"R Bishnoi","2009-2009",3,"3","0","19","18","6.33","17","111.76","0","0","1","1","2","RCB"
"504",504,14,"MS Bisla","2015-2015",2,"2","0","37","20","18.50","30","123.33","0","0","0","6","1","RCB"
"505",505,15,"MV Boucher","2008-2010",31,"22","8","393","50*","28.07","315","124.76","0","1","0","32","13","RCB"
"506",506,16,"YS Chahal","2014-2016",42,"4","4","2","1*","-","2","100.00","0","0","0","0","0","RCB"
"507",507,17,"S Chanderpaul","2008-2008",3,"3","0","25","16","8.33","31","80.64","0","0","0","4","0","RCB"
"508",508,18,"B Chipli","2008-2008",3,"3","0","20","10","6.66","28","71.42","0","0","0","3","0","RCB"
"509",509,19,"DT Christian","2013-2013",2,"2","0","6","4","3.00","15","40.00","0","0","0","0","0","RCB"
"510",510,20,"AB de Villiers","2011-2016",93,"84","21","2617","133*","41.53","1634","160.15","2","18","6","225","130","RCB"
"511",511,21,"TM Dilshan","2011-2013",30,"29","3","733","76*","28.19","647","113.29","0","6","3","99","11","RCB"
"512",512,22,"AB Dinda","2014-2015",11,"3","2","4","2*","4.00","12","33.33","0","0","1","0","0","RCB"
"513",513,23,"ND Doshi","2010-2010",2,"-","-","-","-","-","-","-","-","-","-","-","-","RCB"
"514",514,24,"R Dravid","2008-2010",52,"45","5","1132","75*","28.30","946","119.66","0","5","4","121","20","RCB"
"515",515,25,"D du Preez","2009-2010",5,"3","0","57","46","19.00","39","146.15","0","0","0","1","4","RCB"
"516",516,26,"CH Gayle","2011-2016",82,"81","11","3220","175*","46.00","2052","156.92","5","20","3","248","249","RCB"
"517",517,27,"SP Goswami","2008-2010",7,"6","0","143","52","23.83","155","92.25","0","1","0","17","1","RCB"
"518",518,28,"TM Head","2016-2016",3,"3","1","54","37","27.00","40","135.00","0","0","0","3","2","RCB"
"519",519,29,"MC Henriques","2013-2013",10,"9","5","165","44","41.25","125","132.00","0","0","0","20","3","RCB"
"520",520,30,"Iqbal Abdulla","2015-2016",13,"4","2","57","33*","28.50","45","126.66","0","0","1","8","1","RCB"
"521",521,31,"KM Jadhav","2016-2016",4,"3","3","42","25*","-","32","131.25","0","0","0","2","2","RCB"
"522",522,32,"W Jaffer","2008-2009",8,"8","0","130","50","16.25","121","107.43","0","1","1","14","3","RCB"
"523",523,33,"SB Jakati","2014-2014",1,"-","-","-","-","-","-","-","-","-","-","-","-","RCB"
"524",524,34,"CJ Jordan","2016-2016",9,"1","0","3","3","3.00","4","75.00","0","0","0","0","0","RCB"
"525",525,35,"SB Joshi","2008-2008",4,"2","0","6","3","3.00","14","42.85","0","0","0","0","0","RCB"
"526",526,36,"M Kaif","2011-2012",13,"9","2","102","26","14.57","93","109.67","0","0","0","9","2","RCB"
"527",527,37,"JH Kallis","2008-2010",46,"46","8","1271","89*","33.44","1123","113.17","0","11","4","139","24","RCB"
"528",528,38,"KD Karthik","2015-2015",16,"11","0","141","28","12.81","117","120.51","0","0","0","15","4","RCB"
"529",529,39,"M Kartik","2013-2013",11,"2","1","2","2*","2.00","3","66.66","0","0","1","0","0","RCB"
"530",530,40,"AA Kazi","2011-2011",1,"-","-","-","-","-","-","-","-","-","-","-","-","RCB"
"531",531,41,"SN Khan","2015-2016",18,"12","6","177","45*","29.50","102","173.52","0","0","0","19","6","RCB"
"532",532,42,"Z Khan","2008-2013",44,"15","7","67","21","8.37","84","79.76","0","0","4","7","0","RCB"
"533",533,43,"V Kohli","2008-2016",154,"145","26","4534","113","38.10","3433","132.07","4","28","6","404","162","RCB"
"534",534,44,"B Kumar","2009-2009",1,"-","-","-","-","-","-","-","-","-","-","-","-","RCB"
"535",535,45,"P Kumar","2008-2010",47,"26","7","202","34","10.63","166","121.68","0","0","4","12","14","RCB"
"536",536,46,"A Kumble","2008-2010",51,"19","16","37","8","12.33","50","74.00","0","0","0","3","0","RCB"
"537",537,47,"CK Langeveldt","2011-2011",3,"1","0","8","8","8.00","8","100.00","0","0","0","0","1","RCB"
"538",538,48,"AB McDonald","2012-2013",5,"4","1","47","30","15.66","37","127.02","0","0","1","6","2","RCB"
"539",539,49,"NJ Maddinson","2014-2015",3,"3","0","20","12","6.66","21","95.23","0","0","0","4","0","RCB"
"540",540,50,"Mandeep Singh","2015-2016",15,"9","2","157","54*","22.42","100","157.00","0","1","2","17","6","RCB"
"541",541,51,"AF Milne","2016-2016",1,"-","-","-","-","-","-","-","-","-","-","-","-","RCB"
"542",542,52,"Misbah-ul-Haq","2008-2008",8,"8","1","117","47*","16.71","81","144.44","0","0","2","10","6","RCB"
"543",543,53,"A Mithun","2009-2013",17,"9","3","38","11","6.33","29","131.03","0","0","1","5","1","RCB"
"544",544,54,"EJG Morgan","2010-2010",6,"4","1","35","17","11.66","30","116.66","0","0","0","2","1","RCB"
"545",545,55,"JA Morkel","2014-2014",7,"5","2","45","16","15.00","41","109.75","0","0","0","1","3","RCB"
"546",546,56,"A Mukund","2013-2013",1,"1","0","19","19","19.00","21","90.47","0","0","0","1","0","RCB"
"547",547,57,"M Muralitharan","2012-2014",21,"2","0","6","6","3.00","9","66.66","0","0","1","0","0","RCB"
"548",548,58,"KK Nair","2013-2013",2,"2","0","9","9","4.50","12","75.00","0","0","1","0","0","RCB"
"549",549,59,"DP Nannes","2011-2011",8,"1","1","0","0*","-","1","0.00","0","0","0","0","0","RCB"
"550",550,60,"R Ninan","2011-2011",2,"1","0","3","3","3.00","6","50.00","0","0","0","0","0","RCB"
"551",551,61,"AA Noffke","2008-2008",1,"1","0","9","9","9.00","10","90.00","0","0","0","1","0","RCB"
"552",552,62,"MK Pandey","2009-2010",24,"23","5","569","114*","31.61","475","119.78","1","1","2","62","14","RCB"
"553",553,63,"Pankaj Singh","2009-2010",5,"3","1","2","1*","1.00","4","50.00","0","0","1","0","0","RCB"
"554",554,64,"P Parameswaran","2012-2012",3,"1","1","0","0*","-","1","0.00","0","0","0","0","0","RCB"
"555",555,65,"Parvez Rasool","2016-2016",4,"1","0","10","10","10.00","9","111.11","0","0","0","1","0","RCB"
"556",556,66,"HV Patel","2012-2016",35,"14","5","47","10","5.22","34","138.23","0","0","3","2","3","RCB"
"557",557,67,"PA Patel","2014-2014",12,"12","2","205","57*","20.50","185","110.81","0","1","0","30","1","RCB"
"558",558,68,"AUK Pathan","2011-2012",8,"7","2","39","14","7.80","23","169.56","0","0","2","5","2","RCB"
"559",559,69,"DT Patil","2008-2008",2,"2","0","13","9","6.50","13","100.00","0","0","0","1","0","RCB"
"560",560,70,"KP Pietersen","2009-2010",13,"13","3","329","66*","32.90","242","135.95","0","2","2","31","10","RCB"
"561",561,71,"LA Pomersbach","2011-2011",5,"4","0","51","29","12.75","39","130.76","0","0","0","4","2","RCB"
"562",562,72,"CA Pujara","2011-2013",14,"10","0","143","51","14.30","152","94.07","0","1","1","19","1","RCB"
"563",563,73,"KL Rahul","2013-2016",19,"14","3","417","68*","37.90","287","145.29","0","4","1","41","16","RCB"
"564",564,74,"R Rampaul","2013-2014",12,"7","2","51","23*","10.20","50","102.00","0","0","3","3","2","RCB"
"565",565,75,"S Rana","2014-2014",9,"7","4","73","19*","24.33","65","112.30","0","0","0","7","1","RCB"
"566",566,76,"KW Richardson","2016-2016",4,"1","1","1","1*","-","1","100.00","0","0","0","0","0","RCB"
"567",567,77,"RR Rossouw","2014-2015",5,"5","0","53","24","10.60","51","103.92","0","0","1","3","3","RCB"
"568",568,78,"JD Ryder","2009-2009",5,"5","0","56","32","11.20","49","114.28","0","0","2","9","0","RCB"
"569",569,79,"Sachin Baby","2016-2016",11,"6","2","119","33","29.75","79","150.63","0","0","1","9","5","RCB"
"570",570,80,"DJG Sammy","2015-2015",2,"2","0","13","7","6.50","18","72.22","0","0","0","0","0","RCB"
"571",571,81,"T Shamsi","2016-2016",4,"-","-","-","-","-","-","-","-","-","-","-","-","RCB"
"572",572,82,"KV Sharma","2009-2009",1,"1","0","1","1","1.00","3","33.33","0","0","0","0","0","RCB"
"573",573,83,"RP Singh","2013-2013",11,"-","-","-","-","-","-","-","-","-","-","-","-","RCB"
"574",574,84,"S Sriram","2010-2010",1,"1","0","27","27","27.00","29","93.10","0","0","0","3","0","RCB"
"575",575,85,"MA Starc","2014-2015",27,"12","5","96","29","13.71","98","97.95","0","0","0","10","0","RCB"
"576",576,86,"DW Steyn","2008-2010",35,"9","2","15","8","2.14","26","57.69","0","0","4","2","0","RCB"
"577",577,87,"J Syed Mohammad","2011-2013",15,"8","4","45","13*","11.25","36","125.00","0","0","0","6","0","RCB"
"578",578,88,"YV Takawale","2014-2014",5,"5","0","104","45","20.80","91","114.28","0","0","2","17","1","RCB"
"579",579,89,"LRPL Taylor","2008-2010",31,"30","7","733","81*","31.86","493","148.68","0","4","1","57","43","RCB"
"580",580,90,"SS Tiwary","2011-2013",46,"36","10","578","52","22.23","542","106.64","0","1","1","30","23","RCB"
"581",581,91,"JD Unadkat","2013-2013",13,"2","2","2","1*","-","2","100.00","0","0","0","0","0","RCB"
"582",582,92,"RV Uthappa","2009-2010",40,"36","5","706","68*","22.77","506","139.52","0","5","2","59","36","RCB"
"583",583,93,"RE van der Merwe","2009-2010",15,"10","1","126","35","14.00","106","118.86","0","0","0","8","8","RCB"
"584",584,94,"JJ van der Wath","2011-2011",3,"3","1","18","14*","9.00","16","112.50","0","0","1","1","1","RCB"
"585",585,95,"DL Vettori","2011-2012",28,"15","5","116","44","11.60","92","126.08","0","0","1","10","5","RCB"
"586",586,96,"R Vinay Kumar","2008-2013",70,"31","11","252","26*","12.60","218","115.59","0","0","2","16","8","RCB"
"587",587,97,"SR Watson","2016-2016",16,"15","2","179","36","13.76","134","133.58","0","0","1","14","12","RCB"
"588",588,98,"CL White","2008-2010",20,"17","5","226","31*","18.83","194","116.49","0","0","1","13","9","RCB"
"589",589,99,"D Wiese","2015-2016",15,"8","4","127","47*","31.75","90","141.11","0","0","0","12","4","RCB"
"590",590,100,"Yuvraj Singh","2014-2014",14,"14","3","376","83","34.18","278","135.25","0","3","1","22","28","RCB"
"591",591,101,"VH Zol","2014-2014",3,"2","0","29","16","14.50","26","111.53","0","0","0","3","1","RCB"
"592",592,1,"Ankit Sharma","-1",3,"1","1","3","3*","-","3","100.00","0","0","0","0","0","RPS"
"593",593,2,"M Ashwin","-1",10,"1","0","0","0","0.00","1","0.00","0","0","1","0","0","RPS"
"594",594,3,"R Ashwin","-1",14,"6","4","41","29","20.50","38","107.89","0","0","1","3","1","RPS"
"595",595,4,"GJ Bailey","-1",6,"5","1","84","34","21.00","98","85.71","0","0","1","9","2","RPS"
"596",596,5,"R Bhatia","-1",10,"6","5","34","21","34.00","20","170.00","0","0","0","1","2","RPS"
"597",597,6,"SM Boland","-1",2,"-","-","-","-","-","-","-","-","-","-","-","-","RPS"
"598",598,7,"DL Chahar","-1",2,"-","-","-","-","-","-","-","-","-","-","-","-","RPS"
"599",599,8,"MS Dhoni","-1",14,"12","5","284","64*","40.57","210","135.23","0","1","0","18","14","RPS"
"600",600,9,"AB Dinda","-1",9,"-","-","-","-","-","-","-","-","-","-","-","-","RPS"
"601",601,10,"F du Plessis","-1",6,"6","0","206","69","34.33","162","127.16","0","2","0","17","9","RPS"
"602",602,11,"PSP Handscomb","-1",2,"1","0","6","6","6.00","12","50.00","0","0","0","0","0","RPS"
"603",603,12,"UT Khawaja","-1",6,"6","0","127","30","21.16","100","127.00","0","0","0","14","3","RPS"
"604",604,13,"MR Marsh","-1",3,"1","0","7","7","7.00","11","63.63","0","0","0","0","0","RPS"
"605",605,14,"JA Morkel","-1",2,"1","0","16","16","16.00","9","177.77","0","0","0","0","2","RPS"
"606",606,15,"IK Pathan","-1",4,"3","0","11","7","3.66","13","84.61","0","0","0","0","0","RPS"
"607",607,16,"NLTC Perera","-1",12,"10","3","150","34","21.42","93","161.29","0","0","0","7","11","RPS"
"608",608,17,"KP Pietersen","-1",4,"4","2","73","37","36.50","61","119.67","0","0","0","4","3","RPS"
"609",609,18,"AM Rahane","-1",14,"14","3","480","74","43.63","379","126.64","0","6","2","54","9","RPS"
"610",610,19,"I Sharma","-1",4,"1","1","0","0*","-","0","-","0","0","0","0","0","RPS"
"611",611,20,"RP Singh","-1",4,"-","-","-","-","-","-","-","-","-","-","-","-","RPS"
"612",612,21,"SPD Smith","-1",8,"7","1","270","101","45.00","176","153.40","1","0","0","27","8","RPS"
"613",613,22,"SS Tiwary","-1",10,"8","1","170","57","24.28","141","120.56","0","2","0","17","4","RPS"
"614",614,23,"A Zampa","-1",5,"1","0","0","0","0.00","1","0.00","0","0","1","0","0","RPS"
"615",615,1,"Ankit Sharma","2014-2015",7,"4","1","41","30","13.66","36","113.88","0","0","1","5","1","RR"
"616",616,2,"SA Asnodkar","2008-2011",21,"21","0","464","60","22.09","379","122.42","0","2","3","59","11","RR"
"617",617,3,"S Badree","2013-2013",1,"-","-","-","-","-","-","-","-","-","-","-","-","RR"
"618",618,4,"R Bhatia","2014-2015",14,"8","2","67","23","11.16","54","124.07","0","0","1","4","3","RR"
"619",619,5,"STR Binny","2011-2015",63,"49","17","698","48*","21.81","533","130.95","0","0","5","55","25","RR"
"620",620,6,"J Botha","2009-2012",24,"19","8","335","67*","30.45","292","114.72","0","1","0","29","3","RR"
"621",621,7,"LA Carseldine","2009-2009",5,"5","1","81","39","20.25","68","119.11","0","0","0","11","0","RR"
"622",622,8,"UBT Chand","2014-2014",1,"1","0","2","2","2.00","9","22.22","0","0","0","0","0","RR"
"623",623,9,"A Chandila","2012-2013",12,"2","2","4","4*","-","7","57.14","0","0","0","0","0","RR"
"624",624,10,"AA Chavan","2011-2013",13,"3","1","12","7*","6.00","11","109.09","0","0","0","2","0","RR"
"625",625,11,"SD Chitnis","2009-2009",1,"1","0","6","6","6.00","8","75.00","0","0","0","1","0","RR"
"626",626,12,"KK Cooper","2012-2014",31,"17","6","142","32","12.90","81","175.30","0","0","1","14","9","RR"
"627",627,13,"BCJ Cutting","2014-2014",1,"1","0","8","8","8.00","6","133.33","0","0","0","0","1","RR"
"628",628,14,"P Dogra","2010-2010",9,"8","0","107","41","13.37","106","100.94","0","0","1","4","5","RR"
"629",629,15,"AP Dole","2010-2010",3,"2","0","34","30","17.00","22","154.54","0","0","0","3","1","RR"
"630",630,16,"ND Doshi","2011-2011",3,"1","0","0","0","0.00","13","0.00","0","0","1","0","0","RR"
"631",631,17,"R Dravid","2011-2013",52,"51","2","1324","66","27.02","1216","108.88","0","7","1","177","11","RR"
"632",632,18,"JP Faulkner","2013-2015",48,"35","16","387","46","20.36","269","143.86","0","0","0","25","23","RR"
"633",633,19,"FY Fazal","2009-2011",13,"12","1","210","45","19.09","195","107.69","0","0","1","23","3","RR"
"634",634,20,"AJ Finch","2010-2010",1,"1","0","21","21","21.00","21","100.00","0","0","0","0","1","RR"
"635",635,21,"SP Goswami","2012-2012",11,"6","1","69","24","13.80","67","102.98","0","0","1","4","1","RR"
"636",636,22,"Harmeet Singh","2013-2013",1,"-","-","-","-","-","-","-","-","-","-","-","-","RR"
"637",637,23,"SM Harwood","2009-2009",3,"2","2","9","6*","-","14","64.28","0","0","0","0","0","RR"
"638",638,24,"T Henderson","2009-2009",2,"2","0","11","11","5.50","16","68.75","0","0","1","0","1","RR"
"639",639,25,"BJ Hodge","2012-2014",38,"33","14","748","54*","39.36","520","143.84","0","2","0","61","29","RR"
"640",640,26,"GB Hogg","2012-2013",10,"3","1","15","13","7.50","16","93.75","0","0","0","1","0","RR"
"641",641,27,"DJ Hooda","2015-2015",14,"9","0","151","54","16.77","95","158.94","0","1","0","6","11","RR"
"642",642,28,"Iqbal Abdulla","2014-2014",1,"-","-","-","-","-","-","-","-","-","-","-","-","RR"
"643",643,29,"RA Jadeja","2008-2009",27,"22","4","430","42","23.88","369","116.53","0","0","2","32","12","RR"
"644",644,30,"AA Jhunjhunwala","2010-2010",13,"11","2","183","53*","20.33","166","110.24","0","1","0","16","4","RR"
"645",645,31,"M Kaif","2008-2009",17,"15","3","217","41","18.08","206","105.33","0","0","0","15","6","RR"
"646",646,32,"Kamran Akmal","2008-2008",6,"6","1","128","53*","25.60","78","164.10","0","1","0","13","8","RR"
"647",647,33,"Kamran Khan","2009-2010",8,"2","1","3","3","3.00","5","60.00","0","0","0","0","0","RR"
"648",648,34,"T Kohli","2008-2008",2,"2","0","10","7","5.00","15","66.66","0","0","0","0","1","RR"
"649",649,35,"DS Kulkarni","2014-2015",19,"4","2","39","28*","19.50","36","108.33","0","0","0","1","2","RR"
"650",650,36,"JL Langer","2009-2009",1,"1","0","1","1","1.00","2","50.00","0","0","0","0","0","RR"
"651",651,37,"DS Lehmann","2008-2008",2,"2","0","18","17","9.00","18","100.00","0","0","0","3","0","RR"
"652",652,38,"MJ Lumb","2010-2010",11,"11","0","278","83","25.27","192","144.79","0","1","2","45","6","RR"
"653",653,39,"VS Malik","2013-2014",7,"1","1","1","1*","-","2","50.00","0","0","0","0","0","RR"
"654",654,40,"DR Martyn","2010-2010",1,"1","0","19","19","19.00","24","79.16","0","0","0","1","0","RR"
"655",655,41,"AD Mascarenhas","2008-2010",9,"8","2","92","32*","15.33","73","126.02","0","0","1","6","2","RR"
"656",656,42,"AL Menaria","2011-2013",33,"24","3","407","40","19.38","364","111.81","0","0","1","24","18","RR"
"657",657,43,"M Morkel","2009-2010",4,"3","1","17","8","8.50","24","70.83","0","0","0","2","0","RR"
"658",658,44,"CH Morris","2015-2015",11,"7","5","76","34*","38.00","46","165.21","0","0","1","3","5","RR"
"659",659,45,"KK Nair","2014-2015",25,"23","2","511","73*","24.33","377","135.54","0","4","0","56","14","RR"
"660",660,46,"S Narwal","2010-2010",5,"3","1","14","12","7.00","12","116.66","0","0","1","2","0","RR"
"661",661,47,"AM Nayar","2014-2014",5,"4","1","43","23","14.33","47","91.48","0","0","0","5","1","RR"
"662",662,48,"NV Ojha","2009-2010",23,"23","3","555","94*","27.75","434","127.88","0","4","3","53","27","RR"
"663",663,49,"JDP Oram","2011-2011",2,"1","0","0","0","0.00","3","0.00","0","0","1","0","0","RR"
"664",664,50,"Pankaj Singh","2008-2012",12,"2","2","5","4*","-","8","62.50","0","0","0","0","0","RR"
"665",665,51,"MM Patel","2008-2010",31,"9","5","37","23*","9.25","32","115.62","0","0","3","5","0","RR"
"666",666,52,"NK Patel","2008-2009",9,"6","2","121","57","30.25","119","101.68","0","1","0","14","1","RR"
"667",667,53,"YK Pathan","2008-2010",43,"42","4","1011","100","26.60","627","161.24","1","6","1","89","61","RR"
"668",668,54,"AG Paunikar","2010-2011",5,"5","0","49","20","9.80","58","84.48","0","0","1","9","0","RR"
"669",669,55,"MDKJ Perera","2013-2013",3,"3","0","22","14","7.33","17","129.41","0","0","1","5","0","RR"
"670",670,56,"RJ Quiney","2009-2009",7,"7","0","103","51","14.71","102","100.98","0","1","0","12","3","RR"
"671",671,57,"AM Rahane","2011-2015",77,"72","10","2335","103*","37.66","1935","120.67","1","19","4","245","46","RR"
"672",672,58,"AS Raut","2009-2011",23,"16","7","194","36*","21.55","167","116.16","0","0","1","13","7","RR"
"673",673,59,"M Rawat","2008-2009",16,"10","6","50","23*","12.50","58","86.20","0","0","1","4","1","RR"
"674",674,60,"KW Richardson","2014-2014",7,"1","0","1","1","1.00","2","50.00","0","0","0","0","0","RR"
"675",675,61,"Sachin Baby","2013-2013",4,"1","0","3","3","3.00","7","42.85","0","0","0","0","0","RR"
"676",676,62,"D Salunkhe","2008-2008",6,"3","1","33","26*","16.50","24","137.50","0","0","0","5","0","RR"
"677",677,63,"SV Samson","2013-2015",44,"40","4","941","76","26.13","765","123.00","0","7","2","82","35","RR"
"678",678,64,"OA Shah","2012-2013",15,"15","4","365","76","33.18","279","130.82","0","3","0","26","16","RR"
"679",679,65,"PR Shah","2011-2011",2,"1","0","5","5","5.00","5","100.00","0","0","0","1","0","RR"
"680",680,66,"R Shukla","2013-2013",7,"3","2","2","1*","2.00","4","50.00","0","0","1","0","0","RR"
"681",681,67,"A Singh","2009-2012",24,"5","1","2","1*","0.50","10","20.00","0","0","3","0","0","RR"
"682",682,68,"GC Smith","2008-2010",25,"25","3","697","91","31.68","617","112.96","0","4","2","88","9","RR"
"683",683,69,"SPD Smith","2014-2015",24,"19","4","440","79*","29.33","331","132.93","0","2","1","46","7","RR"
"684",684,70,"Sohail Tanvir","2008-2009",12,"5","2","36","13","12.00","29","124.13","0","0","0","3","1","RR"
"685",685,71,"TG Southee","2014-2015",10,"4","2","17","7*","8.50","13","130.76","0","0","0","2","0","RR"
"686",686,72,"BB Sran","2015-2015",1,"-","-","-","-","-","-","-","-","-","-","-","-","RR"
"687",687,73,"S Sreesanth","2013-2013",7,"3","2","1","1*","1.00","4","25.00","0","0","1","0","0","RR"
"688",688,74,"SW Tait","2010-2013",21,"5","2","23","11","7.66","26","88.46","0","0","1","1","1","RR"
"689",689,75,"PV Tambe","2013-2015",31,"6","4","11","3*","5.50","20","55.00","0","0","0","0","0","RR"
"690",690,76,"LRPL Taylor","2011-2011",12,"11","6","181","47*","36.20","152","119.07","0","0","1","11","7","RR"
"691",691,77,"R Tewatia","2014-2015",4,"1","0","16","16","16.00","13","123.07","0","0","0","0","1","RR"
"692",692,78,"J Theron","2015-2015",1,"1","1","1","1*","-","1","100.00","0","0","0","0","0","RR"
"693",693,79,"SK Trivedi","2008-2013",76,"15","8","42","9","6.00","59","71.18","0","0","1","3","1","RR"
"694",694,80,"A Uniyal","2010-2010",2,"2","1","4","4*","4.00","7","57.14","0","0","1","0","0","RR"
"695",695,81,"PC Valthaty","2009-2009",2,"2","0","6","5","3.00","12","50.00","0","0","0","1","0","RR"
"696",696,82,"AC Voges","2010-2010",9,"7","3","181","45*","45.25","143","126.57","0","0","0","15","3","RR"
"697",697,83,"SB Wagh","2010-2010",1,"-","-","-","-","-","-","-","-","-","-","-","-","RR"
"698",698,84,"SK Warne","2008-2011",56,"29","9","198","34*","9.90","214","92.52","0","0","7","14","6","RR"
"699",699,85,"SR Watson","2008-2015",84,"81","12","2474","104*","35.85","1765","140.16","2","14","2","245","114","RR"
"700",700,86,"DH Yagnik","2011-2014",27,"19","7","176","34","14.66","143","123.07","0","0","2","24","2","RR"
"701",701,87,"Younis Khan","2008-2008",1,"1","0","3","3","3.00","7","42.85","0","0","0","0","0","RR"
